Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2010 Cap,year
1  ,STL , Sam Bradford ,QB,22,Oklahoma,6,"$78,045,000","$17,975,000","$3,200,000",2010
2  ,DET , Ndamukong Suh ,DT,23,Nebraska,5,"$63,502,000",-,"$3,100,000",2010
3  ,TB , Gerald McCoy ,DT,22,Oklahoma,5,"$55,000,000","$3,600,000","$15,087,500",2010
4  ,WAS , Trent Williams ,LT,21,Oklahoma,6,"$60,000,000","$3,000,000","$2,898,000",2010
5  ,KC , Eric Berry ,SS,21,Tennessee,5,"$50,044,300",-,"$4,157,000",2010
6  ,SEA , Russell Okung ,LT,22,Oklahoma State,6,"$48,500,000","$1,680,000","$2,600,000",2010
7  ,CLE , Joe Haden ,CB,21,Florida,5,"$40,056,742","$12,000,000","$3,092,000",2010
8  ,OAK , Rolando McClain ,ILB,20,Alabama,5,"$40,000,000",-,"$2,260,000",2010
9  ,BUF , C.J. Spiller ,RB,22,Clemson,5,"$25,672,087","$2,000,000","$2,123,333",2010
10  ,JAC , Tyson Alualu ,DE,22,California,5,"$21,899,000","$1,770,000","$1,935,000",2010
11  ,SF  from CHI via DEN, Anthony Davis ,RT,20,Rutgers,5,"$26,500,000","$1,000,000","$3,908,567",2010
12  ,SD  from MIA, Ryan Mathews ,RB,22,Fresno State,4,"$18,920,000","$3,000,000","$1,731,000",2010
13  ,PHI  from SF via DEN, Brandon Graham ,DE,22,Michigan,5,"$16,908,000",-,"$1,690,000",2010
14  ,SEA  from DEN, Earl Thomas ,FS,20,Texas,5,"$18,300,000","$500,000","$1,600,000",2010
15  ,NYG , Jason Pierre-Paul ,DE,21,South Florida,5,"$16,084,000","$900,000","$1,575,000",2010
16  ,TEN , Derrick Morgan ,OLB,24,Georgia Tech,5,"$15,395,010","$1,000,010","$1,446,668",2010
17  ,SF  from CAR, Mike Iupati ,G,22,Idaho,5,"$15,110,625","$1,200,000","$5,116,962",2010
18  ,PIT , Maurkice Pouncey ,C,20,Florida,5,"$14,807,250",-,"$1,444,500",2010
19  ,ATL , Sean Weatherspoon ,ILB,22,Missouri,5,"$13,982,500","$500,000","$1,425,000",2010
20  ,HOU , Kareem Jackson ,CB,22,Alabama,5,"$13,100,000","$875,000","$1,430,000",2010
21  ,CIN , Jermaine Gresham ,TE,21,Oklahoma,5,"$14,095,000",-,"$1,146,000",2010
22  ,DEN  from NE, Demaryius Thomas ,WR,22,Georgia Tech,5,"$15,500,000","$6,375,000","$1,310,000",2010
23  ,GB , Bryan Bulaga ,RT,21,Iowa,5,"$12,210,000","$880,000","$1,360,000",2010
24  ,DAL  from PHI via DEN via NE, Dez Bryant ,WR,21,Oklahoma State,5,"$11,800,000","$1,950,000","$1,280,000",2010
25  ,DEN  from BAL, Tim Tebow ,QB,22,Florida,5,"$11,250,000",-,"$1,767,500",2010
26  ,ARI , Dan Williams ,DT,22,Tennessee,5,"$8,985,000","$500,000","$1,260,000",2010
27  ,NE  from DAL, Devin McCourty ,FS,22,Rutgers,5,"$10,000,000","$1,500,000","$1,300,000",2010
28  ,MIA  from SD, Jared Odrick ,DE,22,Penn State,5,"$13,071,939","$1,147,744","$1,281,804",2010
29  ,NYJ , Kyle Wilson ,CB,22,Boise State,5,"$9,905,000","$1,112,000","$1,250,400",2010
30  ,DET  from MIN, Jahvid Best ,RB,21,California,5,"$9,800,000","$1,640,000","$1,270,000",2010
31  ,IND , Jerry Hughes ,DE,21,Texas Christian,5,"$12,000,000","$1,400,000","$1,225,000",2010
32  ,NO , Patrick Robinson ,CB,22,Florida State,5,"$9,409,500","$2,210,000","$1,237,000",2010
33  ,STL , Rodger Saffold ,G,21,Indiana,-,-,-,-,2010
34  ,MIN  from DET, Chris Cook ,CB,23,Virginia,4,"$5,370,000","$2,300,000","$895,000",2010
35  ,TB , Brian Price ,DT,21,California-Los Angeles,4,"$5,350,000","$2,720,000","$1,000,000",2010
36  ,KC , Dexter McCluster ,RB,21,Mississippi,4,"$5,150,000","$2,240,000","$880,000",2010
37  ,PHI  from WAS, Nate Allen ,FS,22,South Florida,4,"$5,133,000","$2,400,000","$920,000",2010
38  ,CLE , T.J. Ward ,SS,23,Oregon,4,"$4,027,000","$2,075,000","$820,750",2010
39  ,TB  from OAK, Arrelious Benn ,WR,21,Illinois,4,"$4,640,000","$2,100,000","$845,000",2010
40  ,MIA  from SEA via SD, Koa Misi ,OLB,23,Utah,4,"$4,664,905","$1,870,000","$787,500",2010
41  ,BUF , Torell Troup ,DT,21,Central Florida,4,"$4,610,000","$1,805,000","$771,250",2010
42  ,NE  from CHI via TB via OAK, Rob Gronkowski ,TE,20,Arizona,4,"$4,440,000","$1,760,000","$760,000",2010
43  ,BAL  from MIA via DEN, Sergio Kindle ,LB,22,Texas,1,"$320,000",-,"$320,000",2010
44  ,OAK  from JAC via NE, Lamarr Houston ,OLB,22,Texas,4,"$4,480,000","$1,675,000","$773,750",2010
45  ,DEN , Zane Beadles ,G,23,Utah,4,"$4,321,000","$1,720,000","$750,000",2010
46  ,NYG , Linval Joseph ,DT,21,East Carolina,4,"$4,310,500","$1,528,000","$1,544,500",2010
47  ,ARI  from TEN via NE, Daryl Washington ,ILB,23,Texas Christian,4,"$4,170,000","$1,675,000","$738,750",2010
48  ,CAR , Jimmy Clausen ,QB,22,Notre Dame,4,"$3,230,000","$1,290,000","$642,500",2010
49  ,SF , Taylor Mays ,SS,22,Southern California,4,"$3,910,000","$1,508,000","$409,000",2010
50  ,KC  from ATL, Javier Arenas ,CB,22,Alabama,4,"$3,798,416","$1,435,000","$678,750",2010
51  ,MIN  from HOU, Toby Gerhart ,RB,23,Stanford,4,"$3,767,000","$1,484,000","$691,000",2010
52  ,PIT , Jason Worilds ,OLB,22,Virginia Tech,4,"$3,825,000","$1,420,000","$675,000",2010
53  ,NE , Jermaine Cunningham ,DE,21,Florida,4,"$3,635,000","$1,237,500","$629,375",2010
54  ,CIN , Carlos Dunlap ,DE,21,Florida,4,"$3,659,000","$1,228,000","$627,000",2010
55  ,DAL  from PHI, Sean Lee ,OLB,23,Penn State,4,"$3,490,000","$1,200,000","$620,000",2010
56  ,GB , Michael Neal ,OLB,22,Purdue,4,"$2,950,000","$1,160,000","$610,000",2010
57  ,BAL , Terrence Cody ,DT,21,Alabama,4,"$3,384,500","$1,120,000","$600,000",2010
58  ,HOU  from ARI via NE, Ben Tate ,RB,21,Auburn,4,"$2,922,000","$1,077,000","$1,159,250",2010
59  ,CLE  from DAL via PHI, Montario Hardesty ,RB,23,Tennessee,4,"$2,799,000","$1,000,000","$570,000",2010
60  ,SEA  from SD, Golden Tate ,WR,21,Notre Dame,4,"$3,411,500","$1,000,000","$570,000",2010
61  ,NYJ , Vladimir Ducasse ,G,22,Massachusetts,4,"$2,965,000","$1,025,000","$576,250",2010
62  ,NE  from MIN via HOU, Brandon Spikes ,ILB,22,Florida,4,"$3,200,000","$960,000","$484,705",2010
63  ,IND , Patrick Angerer ,ILB,23,Iowa,4,"$3,140,000","$1,010,000","$562,500",2010
64  ,NO , Charles Brown ,LT,23,Southern California,4,"$3,100,000","$1,000,000","$565,000",2010
65  ,STL , Jerome Murphy ,CB,23,South Florida,4,"$2,727,739","$937,739","$554,434",2010
66  ,DET , Amari Spievey ,S,22,Iowa,3,"$1,912,000","$697,000","$552,333",2010
67  ,TB , Myron Lewis ,CB,22,Vanderbilt,4,"$2,720,100","$930,100","$552,525",2010
68  ,KC , Jon Asamoah ,G,21,Illinois,4,"$2,702,120","$912,120","$548,030",2010
69  ,OAK , Jared Veldheer ,RT,22,Hillsdale,4,"$3,528,000","$895,000","$543,750",2010
70  ,BAL  from SEA via PHI via DEN, Ed Dickson ,TE,22,Oregon,3,"$1,877,500","$662,500","$540,833",2010
71  ,GB  from CLE via PHI, Morgan Burnett ,SS,21,Georgia Tech,4,"$2,665,100","$875,100","$538,775",2010
72  ,BUF , Alex Carrington ,DT,22,Arkansas State,4,"$2,804,000","$864,000","$536,000",2010
73  ,MIA , John Jerry ,G,23,Mississippi,4,"$2,648,500","$858,500","$534,625",2010
74  ,JAC , D'Anthony Smith ,DT,21,Louisiana State,4,"$2,640,000","$850,000","$437,500",2010
75  ,CHI , Major Wright ,S,21,Florida,4,"$2,634,700","$679,300","$489,825",2010
76  ,NYG , Chad Jones ,S,21,Louisiana State,4,"$2,616,000","$825,965","$526,491",2010
77  ,TEN , Damian Williams ,WR,21,Southern California,4,"$2,613,250","$823,250","$525,812",2010
78  ,CAR , Brandon LaFell ,WR,23,Louisiana State,4,"$3,478,400","$818,400","$524,600",2010
79  ,SD  from SF, Donald Butler ,ILB,21,Washington,4,"$3,346,500","$808,500","$427,125",2010
80  ,DEN , J.D. Walton ,C,23,Baylor,4,"$2,588,500","$798,500","$519,625",2010
81  ,HOU , Earl Mitchell ,DT,22,Arizona,4,"$2,728,500","$788,500","$517,125",2010
82  ,PIT , Emmanuel Sanders ,WR,23,Southern Methodist,3,"$1,801,000","$586,069","$515,356",2010
83  ,ATL , Corey Peters ,DT,21,Kentucky,4,"$3,400,000","$767,000","$511,750",2010
84  ,CIN , Jordan Shipley ,WR,24,Texas,4,"$2,546,746","$756,746","$509,186",2010
85  ,CLE  from NE via OAK, Colt McCoy ,QB,23,Texas,4,"$5,000,000","$751,000","$577,750",2010
86  ,PHI  from GB, Daniel Te'o-Nesheim ,DE,22,Washington,4,"$2,530,000","$741,258","$505,314",2010
87  ,DEN  from PHI, Eric Decker ,WR,23,Minnesota,4,"$2,522,150","$732,150","$503,037",2010
88  ,ARI  from BAL, Andre Roberts ,WR,22,Citadel,4,"$2,668,200","$724,200","$501,050",2010
89  ,CAR  from ARI via NE, Armanti Edwards ,WR,22,Appalachian State,4,"$2,558,840","$713,840","$498,460",2010
90  ,NE  from DAL, Taylor Price ,WR,22,Ohio,4,"$2,495,000","$704,600","$496,150",2010
91  ,SF  from SD, Navorro Bowman ,ILB,21,Penn State,4,"$2,492,248","$702,248","$495,562",2010
92  ,CLE  from NYJ, Shawn Lauvao ,G,22,Arizona State,4,"$2,847,000","$697,000","$494,250",2010
93  ,KC  from MIN via HOU, Tony Moeaki ,TE,22,Iowa,4,"$2,476,650",-,"$491,662",2010
94  ,IND , Kevin Thomas ,CB,23,Southern California,4,"$2,465,472","$675,472","$488,868",2010
95  ,NO , Jimmy Graham ,TE,23,Miami (FL),4,"$2,455,140","$665,140","$486,285",2010
