Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2011 Cap,year
1  ,CAR , Cam Newton ,QB,21,Auburn,4,"$22,025,498","$14,518,544","$4,004,636",2011
2  ,DEN , Von Miller ,OLB,22,Texas A&M,4,"$21,000,380","$13,773,004","$3,818,251",2011
3  ,BUF , Marcell Dareus ,DT,21,Alabama,4,"$20,400,000","$13,341,672","$3,710,418",2011
4  ,CIN , A.J. Green ,WR,22,Georgia,4,"$19,688,098","$12,818,620","$3,579,655",2011
5  ,ARI , Patrick Peterson ,CB,20,Louisiana State,4,"$18,429,500","$11,903,272","$3,350,818",2011
6  ,ATL  from CLE, Julio Jones ,WR,22,Alabama,4,"$16,183,750","$10,270,000","$2,957,500",2011
7  ,SF , Aldon Smith ,OLB,21,Missouri,4,"$14,384,000","$8,961,092","$2,615,273",2011
8  ,TEN , Jake Locker ,QB,22,Washington,4,"$12,586,002","$7,653,456","$2,288,364",2011
9  ,DAL , Tyron Smith ,LT,20,Southern California,4,"$12,500,000","$7,588,072","$2,272,018",2011
10  ,JAC  from WAS, Blaine Gabbert ,QB,21,Missouri,4,"$12,001,646","$7,228,472","$2,182,118",2011
11  ,HOU , J.J. Watt ,DE,22,Wisconsin,4,"$11,230,000","$6,672,728","$2,043,182",2011
12  ,MIN , Christian Ponder ,QB,23,Florida State,4,"$10,158,698","$5,888,144","$1,847,036",2011
13  ,DET , Nick Fairley ,DT,23,Auburn,4,"$9,889,000","$5,692,000","$1,798,000",2011
14  ,STL , Robert Quinn ,DE,20,North Carolina,4,"$9,436,053","$5,362,585","$1,715,646",2011
15  ,MIA , Mike Pouncey ,C,21,Florida,4,"$9,200,000","$5,234,325","$1,683,581",2011
16  ,WAS  from JAC, Ryan Kerrigan ,OLB,22,Purdue,4,"$8,720,294","$4,842,032","$1,585,508",2011
17  ,NE  from OAK, Nate Solder ,LT,23,Colorado,4,"$8,540,492","$4,711,268","$1,552,817",2011
18  ,SD , Corey Liuget ,DT,21,Illinois,4,"$8,315,000","$4,547,816","$1,511,954",2011
19  ,NYG , Prince Amukamara ,CB,21,Nebraska,4,"$8,180,898","$4,449,744","$1,487,436",2011
20  ,TB , Adrian Clayborn ,DE,22,Iowa,4,"$8,210,166","$4,471,032","$1,492,758",2011
21  ,CLE  from KC, Phil Taylor ,DT,23,Baylor,4,"$8,093,250","$4,386,000","$1,471,500",2011
22  ,IND , Anthony Castonzo ,LT,22,Boston College,4,"$8,000,000","$4,318,980","$1,454,745",2011
23  ,PHI , Danny Watkins ,G,26,Baylor,4,"$7,935,950","$4,271,600","$1,442,900",2011
24  ,NO , Cameron Jordan ,DE,21,California,4,"$7,730,000","$4,122,836","$1,405,709",2011
25  ,SEA , James Carpenter ,G,22,Alabama,4,"$7,641,502","$4,057,456","$1,389,364",2011
26  ,KC  from ATL via CLE, Jonathan Baldwin ,WR,21,Pittsburgh,4,"$7,551,602","$3,992,072","$1,373,018",2011
27  ,BAL , Jimmy Smith ,CB,22,Colorado,4,"$7,461,696","$3,926,688","$1,356,672",2011
28  ,NO  from NE, Mark Ingram ,RB,21,Alabama,4,"$7,416,750","$3,984,000","$1,348,500",2011
29  ,CHI , Gabe Carimi ,G,22,Wisconsin,4,"$7,056,046","$3,631,672","$1,282,918",2011
30  ,NYJ , Muhammad Wilkerson ,DE,21,Temple,4,"$6,875,000","$3,500,000","$1,250,000",2011
31  ,PIT , Cameron Heyward ,DE,21,Ohio State,4,"$6,705,028","$3,376,384","$1,219,096",2011
32  ,GB , Derek Sherrod ,RT,22,Mississippi State,4,"$6,600,000","$3,301,456","$1,200,364",2011
33  ,NE  from CAR, Ras-I Dowling ,CB,22,Virginia,4,"$5,304,098","$2,357,528","$964,382",2011
34  ,BUF , Aaron Williams ,SS,21,Texas,4,"$5,200,000","$2,324,836","$901,896",2011
35  ,CIN , Andy Dalton ,QB,23,Texas Christian,4,"$5,214,198","$2,292,144","$948,036",2011
36  ,SF  from DEN, Colin Kaepernick ,QB,23,Nevada,4,"$5,220,000","$2,226,764","$931,691",2011
37  ,CLE , Jabaal Sheard ,OLB,21,Pittsburgh,4,"$5,090,000","$2,202,000","$925,500",2011
38  ,ARI , Ryan Williams ,RB,21,Virginia Tech,4,"$5,007,432","$2,141,768","$910,442",2011
39  ,TEN , Akeem Ayers ,OLB,21,California-Los Angeles,4,"$4,926,516","$2,082,924","$895,731",2011
40  ,DAL , Bruce Carter ,ILB,23,North Carolina,4,"$4,850,000","$2,030,616","$882,654",2011
41  ,WAS , Jarvis Jenkins ,DE,23,Clemson,4,"$4,782,680","$1,978,312","$840,483",2011
42  ,HOU , Brooks Reed ,DE,24,Arizona,4,"$4,701,764","$1,191,468","$854,867",2011
43  ,MIN , Kyle Rudolph ,TE,21,Notre Dame,4,"$3,907,164","$1,867,164","$841,791",2011
44  ,DET , Titus Young ,WR,21,Boise State,4,"$4,561,321","$1,817,324","$829,331",2011
45  ,DEN  from SF, Rahim Moore ,FS,21,California-Los Angeles,4,"$4,448,000","$1,735,000","$808,750",2011
46  ,DEN  from MIA, Orlando Franklin ,G,23,Miami (FL),4,"$4,350,000","$1,668,000","$792,000",2011
47  ,STL , Lance Kendricks ,TE,23,Wisconsin,4,"$4,226,105","$1,573,751","$768,437",2011
48  ,OAK , Stefen Wisniewski ,C,22,Penn State,4,"$4,135,402","$1,507,564","$751,891",2011
49  ,IND  from JAC via WAS, Benjamin Ijalana ,RT,21,Villanova,4,"$4,040,000","$1,442,180","$735,545",2011
50  ,SD , Marcus Gilchrist ,SS,22,Clemson,4,"$3,955,600","$1,376,800","$719,200",2011
51  ,TB , Da'Quan Bowers ,DT,21,Clemson,4,"$3,855,636","$1,304,100","$701,025",2011
52  ,NYG , Marvin Austin ,DT,22,North Carolina,4,"$3,775,798","$1,246,036","$686,509",2011
53  ,CHI  from IND via WAS, Stephen Paea ,DT,22,Oregon State,4,"$3,685,902","$1,180,656","$670,164",2011
54  ,PHI , Jaiquawn Jarrett ,FS,21,Temple,4,"$3,598,750","$1,117,272","$654,318",2011
55  ,KC , Rodney Hudson ,C,21,Florida State,4,"$3,506,100","$1,049,892","$637,473",2011
56  ,NE  from NO, Shane Vereen ,RB,21,California,4,"$3,461,150","$1,017,200","$629,300",2011
57  ,DET  from SEA, Mikel Leshoure ,RB,23,Illinois,4,"$3,434,178","$997,584","$624,396",2011
58  ,BAL , Torrey Smith ,WR,22,Maryland,4,"$3,389,232","$964,896","$616,224",2011
59  ,CLE  from ATL, Greg Little ,WR,21,North Carolina,4,"$3,327,500","$920,000","$605,000",2011
60  ,HOU  from NE, Brandon Harris ,CB,21,Miami (FL),4,"$3,299,326","$899,512","$599,878",2011
61  ,SD  from NYJ, Jonas Mouton ,ILB,23,Michigan,4,"$3,209,502","$873,360","$593,340",2011
62  ,MIA  from CHI via WAS, Daniel Thomas ,RB,23,Kansas State,4,"$3,236,387","$853,740","$588,435",2011
63  ,PIT , Marcus Gilbert ,RT,23,Florida,4,"$3,227,414","$847,208","$586,802",2011
64  ,GB , Randall Cobb ,WR,20,Kentucky,4,"$3,209,430","$834,124","$583,531",2011
65  ,CAR , Terrell McClain ,DT,22,South Florida,4,"$2,843,304","$703,304","$550,826",2011
66  ,CIN , Dontay Moch ,DE,22,Nevada,4,"$3,021,664","$697,576","$549,394",2011
67  ,DEN , Nate Irving ,ILB,22,North Carolina State,4,"$2,735,000","$695,000","$548,750",2011
68  ,BUF , Kelvin Sheppard ,ILB,23,Louisiana State,4,"$3,000,000","$690,832","$577,708",2011
69  ,ARI , Robert Housler ,TE,23,Florida Atlantic,4,"$2,994,092","$684,092","$571,023",2011
70  ,KC  from CLE, Justin Houston ,OLB,22,Georgia,4,"$2,786,248","$671,248","$542,812",2011
71  ,DAL , DeMarco Murray ,RB,23,Oklahoma,4,"$2,970,000","$662,500","$565,625",2011
72  ,NO  from WAS, Martez Wilson ,OLB,22,Illinois,4,"$2,878,324","$656,324","$539,081",2011
73  ,NE  from HOU, Stevan Ridley ,RB,22,Louisiana State,4,"$2,953,500","$648,000","$537,000",2011
74  ,NE  from MIN, Ryan Mallett ,QB,22,Arkansas,4,"$2,947,828","$643,876","$535,969",2011
75  ,SEA  from DET, John Moffitt ,G,24,Wisconsin,4,"$2,895,000","$637,500","$534,375",2011
76  ,JAC  from SF, Will Rackley ,G,21,Lehigh,4,"$2,914,274","$619,472","$529,868",2011
77  ,TEN , Jurrell Casey ,DT,21,Southern California,4,"$2,732,436","$617,436","$529,359",2011
78  ,STL , Austin Pettis ,WR,22,Boise State,4,"$2,729,416","$614,416","$519,567",2011
79  ,WAS  from MIA, Leonard Hankerson ,WR,22,Miami (FL),4,"$2,721,376","$606,376","$526,594",2011
80  ,SF  from JAC, Chris Culliver ,CB,22,South Carolina,4,"$2,638,876","$598,876","$524,719",2011
81  ,OAK , DeMarcus Van Dyke ,CB,22,Miami (FL),4,"$2,631,376","$591,376","$522,844",2011
82  ,SD , Vincent Brown ,WR,22,San Diego State,4,"$2,626,068","$586,068","$521,517",2011
83  ,NYG , Jerrel Jernigan ,WR,21,Troy,4,"$2,690,252","$575,252","$518,813",2011
84  ,TB , Mason Foster ,ILB,22,Washington,4,"$2,784,372","$525,000","$506,250",2011
85  ,BAL  from PHI, Jah Reid ,RT,22,Central Florida,4,"$2,603,240","$563,240","$515,810",2011
86  ,KC , Allen Bailey ,DE,22,Miami (FL),4,"$2,670,944","$555,944","$513,986",2011
87  ,IND , Drake Nevis ,DE,21,Louisiana State,4,"$2,634,112","$549,112","$512,278",2011
88  ,NO , Johnny Patrick ,CB,22,Louisville,4,"$2,727,380","$545,380","$511,250",2011
89  ,SD  from SEA, Shareece Wright ,CB,24,Southern California,4,"$2,584,140","$544,140","$511,035",2011
90  ,PHI  from BAL, Curtis Marsh ,CB,23,Utah State,4,"$3,239,160","$543,520","$510,880",2011
91  ,ATL , Akeem Dent ,ILB,23,Georgia,4,"$2,767,900","$542,900","$510,725",2011
92  ,OAK  from NE, Joe Barksdale ,RT,22,Louisiana State,4,"$2,579,800","$539,800","$509,950",2011
93  ,CHI , Christopher Conte ,FS,22,California,4,"$2,603,600","$533,600","$508,400",2011
94  ,NYJ , Kenrick Ellis ,DT,23,Hampton,4,"$2,622,500","$450,000","$487,500",2011
95  ,PIT , Curtis Brown ,CB,22,Texas,4,"$2,561,200","$521,200","$505,300",2011
96  ,GB , Alexander Green ,RB,22,Hawaii,4,"$2,577,500","$515,000","$503,750",2011
97 (C) ,CAR , Sione Fua ,DT,22,Stanford,4,"$2,546,016","$506,016","$501,504",2011
98  ,CAR , Brandon Hogan ,CB,23,West Virginia,4,"$2,537,028","$497,028","$499,257",2011
99  ,SEA  from DEN via NE, K.J. Wright ,OLB,21,Mississippi State,4,"$2,520,000","$486,000","$496,500",2011
100  ,BUF , Da'Norris Searcy ,SS,22,North Carolina,4,"$2,524,424","$484,424","$496,106",2011
101  ,CIN , Clint Boling ,G,21,Georgia,4,"$2,514,480","$481,448","$495,362",2011
102  ,CLE , Jordan Cameron ,TE,22,Southern California,4,"$2,517,400","$477,400","$494,350",2011
