Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2009 Cap,year
1  ,DET , Matthew Stafford ,QB,21,Georgia,6,"$72,000,000",-,"$3,100,000",2009
2  ,STL , Jason Smith ,LT,22,Baylor,6,"$61,775,000",-,"$2,930,000",2009
3  ,KC , Tyson Jackson ,DE,22,Louisiana State,5,"$57,000,000",-,"$2,860,000",2009
4  ,SEA , Aaron Curry ,OLB,23,Wake Forest,6,"$60,000,000",-,"$2,725,000",2009
5  ,NYJ , Mark Sanchez ,QB,22,Southern California,5,"$50,500,000",-,"$10,100,000",2009
6  ,CIN , Andre Smith ,RT,22,Alabama,6,"$42,000,000",-,"$2,375,000",2009
7  ,OAK , Darrius Heyward-Bey ,WR,22,Maryland,5,"$38,250,000",-,"$2,420,000",2009
8  ,JAC , Eugene Monroe ,LT,22,Virginia,5,"$35,400,000","$1,725,000","$2,105,000",2009
9  ,GB , B.J. Raji ,DT,22,Boston College,5,"$22,900,000","$2,400,000","$2,050,000",2009
10  ,SF , Michael Crabtree ,WR,21,Texas Tech,6,"$32,000,000",-,"$2,393,077",2009
11  ,BUF , Aaron Maybin ,OLB,21,Penn State,5,"$17,600,000","$2,000,000","$1,850,000",2009
12  ,DEN , Knowshon Moreno ,RB,21,Georgia,5,"$16,700,000","$4,160,000","$1,752,000",2009
13  ,WAS , Brian Orakpo ,OLB,22,Texas,5,"$15,336,000","$3,500,000","$1,588,000",2009
14  ,NO , Malcolm Jenkins ,FS,21,Ohio State,5,"$19,000,000","$250,000","$1,570,000",2009
15  ,HOU , Brian Cushing ,ILB,22,Southern California,5,"$14,000,000",-,"$1,516,000",2009
16  ,SD , Larry English ,OLB,23,Northern Illinois,5,"$13,550,000","$1,500,000","$1,370,000",2009
17  ,TB , Josh Freeman ,QB,21,Kansas State,5,"$26,000,000",-,"$1,380,000",2009
18  ,DEN , Robert Ayers ,DE,23,Tennessee,5,"$13,000,000",-,"$1,370,000",2009
19  ,PHI , Jeremy Maclin ,WR,20,Missouri,5,"$14,375,000",-,"$1,339,000",2009
20  ,DET , Brandon Pettigrew ,TE,24,Oklahoma State,5,"$9,400,000",-,"$1,335,000",2009
21  ,CLE , Alex Mack ,C,23,California,5,"$12,200,000",-,"$1,316,000",2009
22  ,MIN , Percy Harvin ,WR,20,Florida,5,"$12,050,000","$981,500","$1,236,300",2009
23  ,BAL , Michael Oher ,RT,22,Mississippi,5,"$13,795,000",-,"$1,252,000",2009
24  ,ATL , Peria Jerry ,DT,24,Mississippi,5,"$8,460,000",-,"$1,200,000",2009
25  ,MIA , Vontae Davis ,CB,20,Illinois,5,"$11,250,000","$500,000","$1,250,000",2009
26  ,GB , Clay Matthews ,OLB,22,Southern California,5,"$10,000,000","$800,000","$1,220,000",2009
27  ,IND , Donald Brown ,RB,22,Connecticut,5,"$10,435,000","$1,000,000","$1,170,000",2009
28  ,BUF , Eric Wood ,C,23,Louisville,5,"$9,335,000","$2,000,000","$1,235,000",2009
29  ,NYG , Hakeem Nicks ,WR,21,North Carolina,5,"$11,075,000","$2,500,000","$1,205,000",2009
30  ,TEN , Kenny Britt ,WR,20,Rutgers,5,"$9,150,010","$1,250,010","$1,153,002",2009
31  ,ARI , Beanie Wells ,RB,20,Ohio State,5,"$9,000,000","$2,000,000","$1,190,000",2009
32  ,PIT , Evander Hood ,DE,22,Missouri,5,"$8,870,000","$92,675","$1,118,353",2009
33  ,DET , Louis Delmas ,FS,22,Western Michigan,4,"$5,950,000",-,"$855,000",2009
34  ,NE , Patrick Chung ,SS,21,Oregon,4,"$5,000,000","$2,000,000","$885,000",2009
35  ,STL , James Laurinaitis ,ILB,22,Ohio State,4,"$5,090,000",-,"$850,000",2009
36  ,CLE , Brian Robiskie ,WR,21,Ohio State,4,"$4,908,000","$2,125,000","$841,250",2009
37  ,DEN , Alphonso Smith ,CB,23,Wake Forest,4,"$4,800,000","$2,150,000","$847,500",2009
38  ,CIN , Rey Maualuga ,ILB,22,Southern California,4,"$4,711,000","$2,036,000","$819,000",2009
39  ,JAC , Eben Britton ,RT,21,Arizona,4,"$4,580,000","$1,900,000","$785,000",2009
40  ,NE , Ron Brace ,DT,22,Boston College,4,"$3,884,000",-,"$782,300",2009
41  ,NE , Darius Butler ,FS,23,Connecticut,4,"$4,215,000",-,"$750,000",2009
42  ,BUF , Jairus Byrd ,FS,22,Oregon,4,"$4,150,000","$1,720,000","$765,000",2009
43  ,CAR , Everette Brown ,OLB,21,Florida State,4,"$4,300,000","$1,540,000","$695,000",2009
44  ,MIA , Pat White ,QB,23,West Virginia,4,"$4,475,000",-,"$726,175",2009
45  ,NYG , Clint Sintim ,LB,23,Virginia,4,"$3,350,000","$1,610,000","$712,500",2009
46  ,HOU , Connor Barwin ,OLB,22,Cincinnati,4,"$4,010,000","$1,410,000","$662,500",2009
47  ,OAK , Mike Mitchell ,FS,21,Ohio,4,"$3,778,000","$1,600,000","$710,000",2009
48  ,DEN , Darcel McBath ,S,23,Texas Tech,4,"$3,850,000","$1,544,000","$696,000",2009
49  ,SEA , Max Unger ,C,23,Oregon,4,"$3,706,000","$1,450,000","$672,500",2009
50  ,CLE , Mohamed Massaquoi ,WR,22,Georgia,4,"$3,613,000","$1,431,505","$673,626",2009
51  ,BUF , Andy Levitre ,G,22,Oregon State,4,"$3,560,000","$1,400,000","$660,000",2009
52  ,CLE , David Veikune ,DE,23,Hawaii,4,"$3,500,000","$991,547",-,2009
53  ,PHI , LeSean McCoy ,RB,20,Pittsburgh,4,"$3,470,000","$1,370,123","$867,530",2009
54  ,MIN , Phillip Loadholt ,RT,23,Oklahoma,4,"$3,440,000","$1,200,000","$1,035,000",2009
55  ,ATL , William Moore ,SS,23,Missouri,4,"$3,408,500","$1,100,000","$585,000",2009
56  ,IND , Fili Moala ,DE,23,Southern California,4,"$3,300,000","$1,140,000","$568,000",2009
57  ,BAL , Paul Kruger ,OLB,23,Utah,4,"$3,250,000","$1,000,000","$560,000",2009
58  ,NE , Sebastian Vollmer ,RT,24,Houston,4,"$3,105,000",-,"$560,000",2009
59  ,CAR , Sherrod Martin ,SS,24,Troy,4,"$3,225,500","$944,000","$546,000",2009
60  ,NYG , William Beatty ,LT,24,Connecticut,4,"$3,133,200","$920,000","$540,000",2009
61  ,MIA , Sean Smith ,CB,21,Utah,4,"$3,116,000","$945,000","$967,250",2009
62  ,TEN , Sen'Derrick Marks ,DT,22,Auburn,4,"$3,097,000","$920,000","$540,000",2009
63  ,ARI , Cody Brown ,DE,22,Connecticut,4,"$3,067,000","$956,000","$549,000",2009
64  ,DEN , Richard Quinn ,TE,22,North Carolina,4,"$26,800,000","$930,000","$852,500",2009
65  ,NYJ , Shonn Greene ,RB,23,Iowa,4,"$2,655,000","$905,000","$536,250",2009
66  ,STL , Bradley Fletcher ,CB,22,Iowa,4,"$2,642,298","$892,298","$533,074",2009
67  ,KC , Alex Magee ,DT,21,Purdue,4,"$2,645,000","$895,000","$613,750",2009
68  ,CHI , Jarron Gilbert ,DE,22,San Jose State,4,"$2,636,500","$740,000","$641,510",2009
69  ,CAR , Jason Williams ,OLB,23,Western Illinois,4,"$2,630,000","$703,200","$485,800",2009
70  ,CIN , Michael Johnson ,DE,22,Georgia Tech,4,"$2,613,020","$863,020","$525,755",2009
71  ,OAK , Matt Shaughnessy ,DE,22,Wisconsin,4,"$2,602,250","$852,250","$523,062",2009
72  ,JAC , Terrance Knighton ,DT,22,Temple,4,"$2,593,858","$843,858","$520,964",2009
73  ,JAC , Derek Cox ,CB,22,William & Mary,4,"$2,583,000","$833,000","$518,250",2009
74  ,SF , Glen Coffee ,RB,21,Alabama,4,"$2,578,244","$828,244","$517,061",2009
75  ,DAL , Robert Brewster ,T,22,Ball State,4,"$2,402,600","$625,600","$466,400",2009
76  ,DET , DeAndre Levy ,OLB,22,Wisconsin,3,"$1,800,000","$610,700","$513,566",2009
77  ,HOU , Antoine Caldwell ,G,23,Alabama,4,"$2,554,000","$804,250","$511,062",2009
78  ,SD , Louis Vasquez ,G,22,Texas Tech,4,"$2,550,000","$794,500","$508,625",2009
79  ,PIT , Kraig Urbik ,G,23,Wisconsin,3,"$1,780,000","$593,000","$507,667",2009
80  ,WAS , Kevin Barnes ,CB,22,Maryland,4,"$2,553,000","$782,500","$505,625",2009
81  ,TB , Roy Miller ,DT,21,Texas,4,"$2,520,000","$770,000","$502,500",2009
82  ,DET , Derrick Williams ,WR,22,Penn State,3,"$1,756,000","$571,000","$500,333",2009
83  ,NE , Brandon Tate ,WR,21,North Carolina,4,"$2,505,000","$755,000","$498,750",2009
84  ,PIT , Mike Wallace ,WR,22,Mississippi,3,"$1,700,000","$555,550","$495,813",2009
85  ,NYG , Ramses Barden ,WR,23,Cal Poly,4,"$2,481,156","$731,156","$492,789",2009
86  ,MIN , Asher Allen ,CB,21,Georgia,4,"$2,476,000","$725,500","$491,375",2009
87  ,MIA , Patrick Turner ,WR,21,Southern California,4,"$2,450,000","$714,300","$488,575",2009
88  ,BAL , Lardarius Webb ,CB,23,Nicholls State,3,"$1,714,520","$529,520","$486,506",2009
89  ,TEN , Jared Cook ,TE,22,South Carolina,4,"$2,450,000","$700,000","$485,000",2009
90  ,ATL , Christopher Owens ,CB,22,San Jose State,4,"$2,438,702","$688,702","$482,175",2009
91  ,SEA , Deon Butler ,WR,23,Penn State,4,"$2,430,750","$680,750","$480,187",2009
92  ,IND , Jerraud Powers ,CB,21,Auburn,4,"$2,425,000","$678,500","$479,625",2009
93  ,CAR , Corvey Irvin ,DT,23,Georgia,4,"$2,423,125","$673,125","$478,281",2009
94  ,TEN , Ryan Mouton ,CB,22,Hawaii,4,"$2,413,750","$663,750","$475,937",2009
95  ,ARI , Rashad Johnson ,FS,23,Alabama,3,"$1,674,000","$489,000","$473,000",2009
96  ,PIT , Keenan Lewis ,CB,22,Oregon State,3,"$1,665,000","$480,000","$470,000",2009
97 (C) ,NE , Tyrone McKenzie ,OLB,23,South Florida,4,"$2,381,000","$631,000","$467,750",2009
98 (C) ,CIN , Chase Coffman ,TE,22,Missouri,4,"$2,372,000","$622,000","$465,500",2009
