Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2007 Cap,year
1  ,OAK , JaMarcus Russell ,QB,21,Louisiana State,6,"$61,000,000",-,"$2,976,320",2007
2  ,DET , Calvin Johnson ,WR,21,Georgia Tech,6,"$55,500,000","$14,000,000","$9,961,437",2007
3  ,CLE , Joe Thomas ,LT,22,Wisconsin,5,"$42,500,000","$6,360,000","$2,700,000",2007
4  ,TB , Gaines Adams ,DE,23,Clemson,6,"$45,325,000",-,"$2,385,000",2007
5  ,ARI , Levi Brown ,LT,23,Penn State,6,"$34,797,500",-,"$2,210,000",2007
6  ,WAS , LaRon Landry ,S,22,Louisiana State,5,"$41,500,000","$5,000,000","$2,163,333",2007
7  ,MIN , Adrian Peterson ,RB,22,Oklahoma,5,"$40,500,000","$3,000,000","$4,490,000",2007
8  ,ATL , Jamaal Anderson ,DE,21,Arkansas,5,"$30,900,000","$2,220,000","$2,029,000",2007
9  ,MIA , Ted Ginn Jr. ,WR,22,Ohio State,5,"$17,027,086","$1,970,000","$4,660,000",2007
10  ,HOU , Amobi Okoye ,DT,19,Louisville,6,"$15,400,000",-,"$1,630,000",2007
11  ,SF , Patrick Willis ,ILB,22,Mississippi,5,"$16,700,000","$3,000,000","$1,650,000",2007
12  ,BUF , Marshawn Lynch ,RB,21,California,6,"$18,935,000","$3,006,150","$3,279,875",2007
13  ,WAS , Adam Carriker ,DE,22,Nebraska,5,"$12,800,000",-,"$1,400,000",2007
14  ,NYJ , Darrelle Revis ,CB,21,Pittsburgh,6,"$30,000,000","$4,700,500","$1,401,916",2007
15  ,PIT , Lawrence Timmons ,ILB,20,Florida State,5,"$12,000,000",-,"$1,399,000",2007
16  ,GB , Justin Harrell ,DT,23,Tennessee,6,-,-,-,2007
17  ,DEN , Jarvis Moss ,DE,22,Florida,5,"$15,000,000","$500,000","$1,300,000",2007
18  ,CIN , Leon Hall ,CB,22,Michigan,5,"$13,600,000",-,"$1,250,000",2007
19  ,TEN , Michael Griffin ,FS,22,Texas,5,"$11,500,000","$850,010","$3,315,002",2007
20  ,NYG , Aaron Ross ,CB,24,Texas,5,"$13,500,000","$1,015,000","$3,070,000",2007
21  ,JAC , Reggie Nelson ,FS,23,Florida,5,"$9,550,000","$3,110,000","$907,000",2007
22  ,CLE , Brady Quinn ,QB,22,Notre Dame,5,"$9,250,000",-,"$1,147,000",2007
23  ,KC , Dwayne Bowe ,WR,22,Louisiana State,5,"$9,000,000","$1,400,000","$2,880,000",2007
24  ,NE , Brandon Meriweather ,SS,23,Miami (FL),5,"$8,765,000","$500,000","$1,140,000",2007
25  ,CAR , Jon Beason ,ILB,22,Miami (FL),5,"$8,758,800","$3,000,000","$1,090,000",2007
26  ,DAL , Anthony Spencer ,OLB,23,Purdue,5,"$7,453,000","$4,475,000","$1,480,000",2007
27  ,NO , Robert Meachem ,WR,22,Tennessee,5,"$11,300,000","$1,300,000","$990,000",2007
28  ,SF , Joe Staley ,LT,22,Central Michigan,5,"$8,000,000","$1,100,000","$1,020,000",2007
29  ,BAL , Ben Grubbs ,G,23,Auburn,5,"$7,900,000","$1,000,000","$1,965,000",2007
30  ,SD , Buster Davis ,WR,21,Louisiana State,5,"$7,830,000","$1,905,000","$2,091,000",2007
31  ,CHI , Greg Olsen ,TE,22,Miami (FL),5,"$7,744,500","$250,000","$1,055,000",2007
32  ,IND , Anthony Gonzalez ,WR,22,Ohio State,5,"$7,500,000","$500,000","$1,550,000",2007
33  ,ARI , Alan Branch ,DT,22,Michigan,4,"$5,590,000","$2,000,000","$785,000",2007
34  ,BUF , Paul Posluszny ,OLB,22,Penn State,4,"$4,750,000","$1,468,000","$767,000",2007
35  ,TB , Arron Sears ,G,22,Tennessee,4,"$3,665,000","$2,000,000","$1,375,000",2007
36  ,PHI , Kevin Kolb ,QB,22,Houston,4,"$4,320,000","$300,000","$1,378,500",2007
37  ,SD , Eric Weddle ,FS,22,Utah,4,"$4,165,000","$1,810,000","$1,427,500",2007
38  ,OAK , Zach Miller ,TE,21,Arizona State,4,"$5,152,000","$965,000","$526,250",2007
39  ,ATL , Justin Blalock ,G,23,Texas,4,"$3,967,000","$1,692,000","$1,318,000",2007
40  ,MIA , John Beck ,QB,25,Brigham Young,4,"$4,096,700","$400,000","$1,116,500",2007
41  ,ATL , Chris Houston ,CB,22,Arkansas,4,"$4,250,000","$1,571,000","$677,750",2007
42  ,IND , Tony Ugoh ,T,23,Arkansas,4,"$3,985,000",-,"$650,000",2007
43  ,DET , Drew Stanton ,QB,22,Michigan State,4,"$3,918,900",-,"$1,141,900",2007
44  ,MIN , Sidney Rice ,WR,20,South Carolina,4,"$3,707,500","$1,316,000","$614,000",2007
45  ,CAR , Dwayne Jarrett ,WR,20,Southern California,4,"$3,825,000","$1,400,000","$1,170,000",2007
46  ,PIT , LaMarr Woodley ,OLB,22,Michigan,4,"$3,530,000","$1,400,000","$1,100,000",2007
47  ,NYJ , David Harris ,ILB,23,Michigan,4,"$3,460,000","$1,400,000","$635,000",2007
48  ,JAC , Justin Durant ,OLB,21,Hampton,4,"$3,385,440","$1,302,000","$610,500",2007
49  ,CIN , Kenny Irons ,RB,23,Auburn,4,"$3,365,000","$1,280,000","$605,000",2007
50  ,TEN , Chris Henry ,RB,21,Arizona,4,"$3,307,500","$1,230,000","$592,500",2007
51  ,NYG , Steve Smith ,WR,21,Southern California,4,"$3,275,000","$1,100,000","$1,070,000",2007
52  ,STL ,   ,,,,-,-,-,-,2007
53  ,CLE , Eric Wright ,CB,21,Nevada-Las Vegas,4,"$3,220,000","$1,160,000","$613,000",2007
54  ,KC , Turk McBride ,DE,21,Tennessee,4,"$3,125,000","$1,140,000","$890,000",2007
55  ,SEA , Josh Wilson ,CB,22,Maryland,4,"$3,084,000","$880,000","$505,000",2007
56  ,DEN , Tim Crowder ,DE,21,Texas,4,"$3,036,000","$1,037,000","$878,250",2007
