Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2005 Cap,year
1  ,SF , Alex Smith ,QB,20,Utah,6,"$49,500,000","$1,000,000","$2,700,000",2005
2  ,MIA , Ronnie Brown ,RB,23,Auburn,6,"$26,567,005",-,"$4,620,543",2005
3  ,CLE , Braylon Edwards ,WR,22,Michigan,5,"$33,000,000","$6,500,000","$2,543,000",2005
4  ,CHI , Cedric Benson ,RB,22,Texas,5,"$29,960,000","$4,000,000","$2,470,000",2005
5  ,TB , Carnell Williams ,RB,23,Auburn,5,"$31,000,000","$2,900,000","$2,327,000",2005
6  ,TEN , Adam-Pacman Jones ,CB,21,West Virginia,5,"$28,249,508","$2,000,010","$2,200,002",2005
7  ,MIN , Troy Williamson ,WR,21,South Carolina,5,"$30,250,000",-,"$2,100,000",2005
8  ,ARI , Antrel Rolle ,SS,22,Miami (FL),6,"$43,000,000",-,"$1,800,000",2005
9  ,WAS , Carlos Rogers ,CB,23,Auburn,5,"$17,450,000",-,"$1,838,000",2005
10  ,DET , Mike Williams ,WR,21,Southern California,5,"$13,500,000","$1,000,000","$3,695,000",2005
11  ,DAL , DeMarcus Ware ,OLB,22,Troy,5,"$3,040,000","$20,000,000","$1,680,000",2005
12  ,SD , Shawne Merriman ,LB,20,Maryland,5,"$11,330,000",-,"$1,518,000",2005
13  ,NO , Jammal Brown ,T,24,Oklahoma,5,"$11,037,500",-,"$1,550,000",2005
14  ,CAR , Thomas Davis ,OLB,22,Georgia,5,"$10,600,000","$1,175,000","$1,640,000",2005
15  ,KC , Derrick Johnson ,ILB,22,Texas,5,"$10,500,000",-,"$1,920,000",2005
16  ,HOU , Travis Johnson ,OLB,22,Florida State,5,"$10,200,000",-,"$1,815,000",2005
17  ,CIN , David Pollack ,LB,22,Georgia,5,"$10,000,000",-,"$1,850,000",2005
18  ,MIN , Erasmus James ,DE,22,Wisconsin,5,"$9,800,000",-,"$1,805,000",2005
19  ,STL , Alex Barron ,LT,22,Florida State,5,"$10,865,000",-,"$1,580,000",2005
20  ,DAL , Marcus Spears ,DE,22,Louisiana State,5,"$9,350,000",-,"$2,330,000",2005
21  ,JAC , Matt Jones ,WR,22,Arkansas,5,"$8,450,000",-,"$1,260,000",2005
22  ,BAL , Mark Clayton ,WR,22,Oklahoma,5,"$8,200,000","$1,000,000","$1,180,000",2005
23  ,OAK , Fabian Washington ,CB,21,Nebraska,5,"$7,811,375","$1,057,000","$1,164,900",2005
24  ,GB , Aaron Rodgers ,QB,21,California,5,"$7,700,000","$1,500,000","$1,150,000",2005
25  ,WAS , Jason Campbell ,QB,23,Auburn,5,"$7,500,000","$140,000","$1,078,000",2005
26  ,SEA , Chris Spencer ,G,23,Ole Miss,5,"$5,705,000","$1,700,000","$1,140,000",2005
27  ,ATL , Roddy White ,WR,23,Alabama-Birmingham,5,"$7,350,000","$4,225,000","$1,075,000",2005
28  ,SD , Luis Castillo ,DE,29,Northwestern,5,"$7,035,000","$1,380,000","$1,030,000",2005
29  ,IND , Marlin Jackson ,CB,21,Michigan,5,"$6,975,000","$1,500,000","$1,050,000",2005
30  ,PIT , Heath Miller ,TE,22,Virginia,5,"$6,890,000","$2,500,000","$1,442,000",2005
31  ,PHI , Mike Patterson ,DT,21,Southern California,5,"$6,625,000","$2,700,000","$1,090,000",2005
32  ,NE , Logan Mankins ,G,23,Fresno State,5,"$6,400,000","$2,250,000","$1,030,000",2005
33  ,SF , David Baas ,C,23,Michigan,5,"$5,000,000","$2,000,000","$835,000",2005
34  ,CLE , Brodney Pool ,S,20,Oklahoma,5,"$5,971,500","$2,000,000","$813,500",2005
35  ,PHI , Reggie Brown ,WR,24,Georgia,5,"$4,730,625","$1,800,000","$758,500",2005
36  ,TB , Barrett Ruud ,LB,21,Nebraska,5,"$4,542,500","$2,060,000","$743,000",2005
37  ,DET , Shaun Cody ,DT,22,Southern California,4,"$3,461,000","$760,000","$706,000",2005
38  ,OAK , Stanford Routt ,CB,21,Houston,5,"$4,300,000","$1,002,000","$673,400",2005
39  ,CHI , Mark Bradley ,WR,23,Oklahoma,5,"$4,280,000","$1,550,000","$690,000",2005
40  ,NO , Josh Bullocks ,S,22,Nebraska,4,"$3,365,000","$750,000","$600,000",2005
41  ,TEN , Michael Roos ,LT,22,Eastern Washington,4,"$3,465,010",$100,"$630,025",2005
42  ,DAL , Kevin Burnett ,OLB,22,Tennessee,4,"$3,311,000","$1,150,000","$610,000",2005
43  ,NYG , Corey Webster ,CB,23,Louisiana State,5,"$3,790,000","$1,500,000","$640,000",2005
44  ,ARI , J.J. Arrington ,RB,22,California,4,"$3,222,500","$1,837,500","$689,375",2005
45  ,SEA , Lofa Tatupa ,LB,22,Southern California,5,"$4,190,000","$400,000","$630,000",2005
46  ,MIA , Matt Roth ,DE,22,Iowa,5,"$4,000,000","$985,000","$682,000",2005
47  ,NYJ , Mike Nugent ,K,23,Ohio State,4,"$3,010,000","$1,000,000","$630,000",2005
48  ,CIN , Odell Thurman ,LB,21,Georgia,5,"$4,000,000","$1,700,000","$630,000",2005
49  ,MIN , Marcus Johnson ,T,23,Mississippi,4,"$2,910,000","$1,525,000","$535,000",2005
50  ,STL , Ron Bartell ,CB,23,Howard,4,"$2,879,000","$1,494,000","$665,750",2005
51  ,GB , Nick Collins ,S,21,Bethune-Cookman,5,"$3,760,000","$600,000","$570,000",2005
52  ,JAC , Khalif Barnes ,LT,23,Washington,4,"$2,820,000","$1,435,000","$517,000",2005
53  ,BAL , Dan Cody ,LB,1021,Oklahoma,4,"$2,785,000","$760,000","$570,000",2005
54  ,CAR , Eric Shelton ,RB,21,Louisville,4,"$2,750,000","$960,000","$570,000",2005
55  ,BUF , Roscoe Parrish ,WR,22,Miami (FL),4,"$2,705,000","$1,320,000","$581,666",2005
56  ,DEN , Darrent Williams ,CB,22,Oklahoma State,4,"$2,663,000","$1,278,000","$549,500",2005
57  ,NYJ , Justin Miller ,CB,21,Clemson,4,"$2,600,000","$675,000","$530,750",2005
58  ,GB , Terrence Murphy ,WR,22,Texas A&M,5,"$3,405,000","$1,475,000","$525,000",2005
59  ,ATL , Jonathan Babineaux ,DT,23,Iowa,4,"$2,535,000","$1,150,000","$517,500",2005
60  ,IND , Kelvin Hayden ,CB,21,Illinois,4,"$2,510,000","$1,125,000","$511,250",2005
61  ,SD , Vincent Jackson ,WR,22,Northern Colorado,5,"$3,305,000","$1,375,000","$505,000",2005
62  ,PIT , Bryant McFadden ,CB,23,Florida State,4,"$2,614,000","$1,079,000","$499,750",2005
63  ,PHI , Matt McCoy ,LB,22,San Diego State,5,"$3,180,000","$1,250,000","$480,000",2005
64  ,JAC , Adam Terry ,T,22,Syracuse,5,"$3,142,500","$700,000","$470,000",2005
65  ,SF , Frank Gore ,RB,21,Miami (FL),3,"$1,542,500","$599,500","$429,833",2005
66  ,STL , Oshiomogho Atogwe ,S,23,Stanford,3,"$1,516,150","$591,150","$427,050",2005
67  ,CLE , Charlie Frye ,QB,23,Akron,4,"$2,185,000","$800,000","$430,000",2005
68  ,TEN , Courtney Roby ,WR,22,Indiana,4,"$2,180,000","$795,000","$428,750",2005
69  ,OAK , Andrew Walter ,QB,22,Arizona State,5,"$2,915,000","$985,000","$427,000",2005
70  ,MIA , Channing Crowder ,LB,21,Florida,4,"$2,151,500","$766,500","$421,625",2005
71  ,TB , Alex Smith ,TE,22,Stanford,5,"$2,895,000","$965,000","$423,000",2005
72  ,DET , Stanley Wilson ,CB,22,Stanford,3,"$1,493,050","$568,050","$419,350",2005
73  ,HOU , Vernand Morency ,RB,25,Oklahoma State,3,"$1,492,000","$567,000","$419,000",2005
74  ,NYG , Justin Tuck ,DE,22,Notre Dame,4,"$2,122,000","$737,000","$414,250",2005
75  ,ARI , Eric Green ,CB,23,Virginia Tech,3,"$1,482,000","$557,000","$415,667",2005
76  ,DEN , Karl Paymah ,CB,22,Washington State,3,"$1,480,000","$555,000","$415,000",2005
77  ,PHI , Ryan Moats ,RB,22,Louisiana Tech,4,"$2,093,000","$708,000","$407,000",2005
78  ,OAK , Kirk Morrison ,LB,23,San Diego State,5,"$2,818,000","$888,000","$407,600",2005
79  ,CAR , Evan Mathis ,G,23,Alabama,3,"$1,466,000","$541,000","$410,333",2005
80  ,MIN , Dustin Fox ,CB,22,Ohio State,3,"$1,495,000","$543,500","$411,167",2005
81  ,STL , Richie Incognito ,G,21,Nebraska,4,"$1,844,882","$549,000","$367,250",2005
82  ,NO , Alfred Fincher ,LB,21,Connecticut,3,"$1,447,000","$522,000","$404,000",2005
83  ,CIN , Chris Henry ,WR,21,West Virginia,5,"$2,795,000","$865,000","$403,000",2005
84  ,NE , Ellis Hobbs ,CB,21,Iowa State,5,"$2,755,000","$825,000","$395,000",2005
85  ,SEA , David Greene ,QB,22,Georgia,4,"$2,020,000","$635,000","$388,750",2005
86  ,BUF , Kevin Everett ,TE,23,Miami (FL),4,"$1,985,000","$600,000","$380,000",2005
87  ,JAC , Scott Starks ,CB,21,Wisconsin,4,"$2,003,000","$618,000","$384,500",2005
88  ,NYJ , Sione Pouha ,DT,26,Utah,4,"$1,998,000","$613,000","$383,250",2005
89  ,CAR , Atiyyah Ellison ,LB,23,Missouri,3,"$1,397,500","$472,500","$230,000",2005
90  ,ATL , Jordan Beck ,LB,22,Cal Poly,3,"$1,390,000","$465,000","$385,000",2005
