Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2016 Cap,year
1  ,LA  from TEN, Jared Goff ,QB,21,California,4,"$27,937,673","$18,518,308","$5,079,577",2016
2  ,PHI  from CLE, Carson Wentz ,QB,23,North Dakota State,4,"$26,676,338","$17,600,973","$4,850,243",2016
3  ,SD , Joey Bosa ,DE,20,Ohio State,4,"$25,873,686","$17,017,226","$4,704,306",2016
4  ,DAL , Ezekiel Elliott ,RB,20,Ohio State,4,"$24,956,341","$16,350,066","$4,537,516",2016
5  ,JAC , Jalen Ramsey ,CB,21,Florida State,4,"$23,351,000","$15,182,546","$4,245,636",2016
6  ,BAL , Ronnie Stanley ,LT,22,Notre Dame,4,"$20,484,331","$13,097,695","$3,724,423",2016
7  ,SF , DeForest Buckner ,DT,22,Oregon,4,"$18,190,995","$11,429,814","$3,307,453",2016
8  ,TEN  from MIA via PHI via CLE, Jack Conklin ,RT,21,Michigan State,4,"$15,897,658","$9,761,933","$2,890,483",2016
9  ,CHI  from TB, Leonard Floyd ,OLB,23,Georgia,4,"$15,782,861","$9,678,444","$2,869,611",2016
10  ,NYG , Eli Apple ,CB,20,Ohio State,4,"$15,152,320","$9,219,869","$2,754,967",2016
11  ,TB  from CHI, Vernon Hargreaves ,CB,20,Florida,4,"$14,177,661","$8,511,026","$2,577,756",2016
12  ,NO , Sheldon Rankins ,DT,22,Louisville,4,"$12,801,648","$7,510,289","$2,327,572",2016
13  ,MIA  from PHI, Laremy Tunsil ,LT,21,Mississippi,4,"$12,457,650","$7,260,109","$2,265,027",2016
14  ,OAK , Karl Joseph ,SS,22,West Virginia,4,"$11,884,317","$6,843,140","$2,160,785",2016
15  ,CLE  from LA via TEN, Corey Coleman ,WR,21,Baylor,4,"$11,654,997","$6,676,361","$2,119,090",2016
16  ,DET , Taylor Decker ,LT,21,Ohio State,4,"$10,966,980","$6,175,985","$1,993,996",2016
17  ,ATL , Keanu Neal ,SS,20,Florida,4,"$10,737,645","$6,009,197","$1,952,299",2016
18  ,IND , Ryan Kelly ,C,22,Alabama,4,"$10,450,983","$5,800,715","$1,900,178",2016
19  ,BUF , Shaq Lawson ,DE,21,Clemson,4,"$10,278,977","$5,675,619","$1,868,904",2016
20  ,NYJ , Darron Lee ,ILB,21,Ohio State,4,"$10,221,648","$5,633,926","$1,858,481",2016
21  ,HOU  from WAS, Will Fuller ,WR,22,Notre Dame,4,"$10,164,313","$5,592,228","$1,848,057",2016
22  ,WAS  from HOU, Josh Doctson ,WR,23,Texas Christian,4,"$10,049,642","$5,508,831","$1,715,495",2016
23  ,MIN , Laquon Treadwell ,WR,20,Mississippi,4,"$9,934,979","$1,806,360","$1,806,359",2016
24  ,CIN , William Jackson ,CB,23,Houston,4,"$9,705,644","$5,258,650","$1,764,662",2016
25  ,PIT , Artie Burns ,CB,20,Miami (FL),4,"$9,590,981","$5,175,259","$1,743,814",2016
26  ,DEN  from SEA, Paxton Lynch ,QB,22,Memphis,4,"$9,476,296","$5,091,852","$1,722,963",2016
27  ,GB , Kenny Clark ,DE,20,California-Los Angeles,4,"$9,361,646","$5,008,470","$1,702,117",2016
28  ,SF  from KC, Joshua Garnett ,G,22,Stanford,4,"$9,304,311","$4,966,772","$1,691,693",2016
29  ,ARI , Robert Nkemdiche ,DE,21,Mississippi,4,"$8,600,601","$4,454,982","$1,563,745",2016
30  ,CAR , Vernon Butler ,DT,21,Louisiana Tech,4,"$8,396,514","$4,306,556","$1,526,639",2016
31  ,SEA  from DEN, Germain Ifedi ,RT,21,Texas A&M,4,"$8,265,105","$4,210,986","$1,502,746",2016
32  ,CLE , Emmanuel Ogbah ,DE,22,Oklahoma State,4,"$6,609,641","$3,007,012","$1,201,753",2016
33  ,TEN , Kevin Dodd ,OLB,23,Clemson,4,"$6,552,306","$2,965,313","$1,191,328",2016
34  ,DAL , Jaylon Smith ,ILB,20,Notre Dame,4,"$6,494,970","$2,923,615","$1,180,903",2016
35  ,SD , Hunter Henry ,TE,21,Arkansas,4,"$6,380,307","$2,840,223","$1,160,055",2016
36  ,JAC  from BAL, Myles Jack ,ILB,20,California-Los Angeles,4,"$6,334,441","$2,806,866","$1,151,716",2016
37  ,KC  from SF, Chris Jones ,DE,21,Mississippi State,4,"$6,231,229","$2,731,801","$1,132,950",2016
38  ,MIA  from JAC via BAL, Xavien Howard ,CB,22,Baylor,4,"$6,128,039","$2,656,756","$1,114,189",2016
39  ,TB , Noah Spence ,DE,22,Ohio State,4,"$6,036,301","$2,590,037","$1,097,509",2016
40  ,NYG , Sterling Shepard ,WR,22,Oklahoma,4,"$5,944,571","$2,523,324","$1,080,831",2016
41  ,BUF  from CHI, Reggie Ragland ,ILB,22,Alabama,4,"$5,841,370","$2,448,269","$1,062,067",2016
42  ,BAL  from MIA, Kamalei Correa ,ILB,22,Boise State,4,"$5,749,639","$2,381,555","$1,045,388",2016
43  ,TEN  from PHI via LA, Austin Johnson ,DT,21,Penn State,4,"$5,662,229","$2,317,985","$1,029,496",2016
44  ,OAK , Jihad Ward ,DE,22,Illinois,4,"$5,539,800","$2,228,945","$1,007,236",2016
45  ,TEN  from LA, Derrick Henry ,RB,21,Alabama,4,"$5,407,928","$2,133,038","$983,259",2016
46  ,DET , A'Shawn Robinson ,DT,21,Alabama,4,"$5,233,635","$2,006,280","$951,570",2016
