Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2017 Cap,year
1  ,CLE , Myles Garrett ,DE,21,Texas A&M,4,"$30,412,255","$20,258,004","$5,529,501",2017
2  ,CHI  from SF, Mitchell Trubisky ,QB,22,North Carolina,4,"$29,032,424","$19,254,490","$5,278,622",2017
3  ,SF  from CHI, Solomon Thomas ,DE,21,Stanford,4,"$28,154,366","$18,615,903","$5,118,975",2017
4  ,JAC , Leonard Fournette ,RB,22,Louisiana State,4,"$27,150,842","$17,886,067","$4,936,516",2017
5  ,TEN  from LA, Corey Davis ,WR,22,Western Michigan,4,"$25,394,688","$16,608,864","$4,617,216",2017
6  ,NYJ , Jamal Adams ,SS,21,Louisiana State,4,"$22,258,738","$14,328,154","$4,047,038",2017
7  ,LAC , Mike Williams ,WR,22,Clemson,4,"$19,749,928","$12,503,584","$3,590,896",2017
8  ,CAR , Christian McCaffrey ,RB,20,Stanford,4,"$17,241,304","$10,679,128","$3,134,782",2017
9  ,CIN , John Ross ,WR,22,Washington,4,"$17,115,863","$10,587,900","$3,084,444",2017
10  ,KC  from BUF, Patrick Mahomes ,QB,21,Texas Tech,4,"$16,425,786","$10,086,026","$2,986,506",2017
11  ,NO , Marshon Lattimore ,CB,20,Ohio State,4,"$15,359,563","$9,310,591","$2,792,647",2017
12  ,HOU  from PHI via CLE, Deshaun Watson ,QB,21,Clemson,4,"$13,854,281","$8,215,841","$2,457,014",2017
13  ,ARI , Haason Reddick ,OLB,22,Temple,4,"$13,477,966","$7,942,157","$2,450,539",2017
14  ,PHI  from MIN, Derek Barnett ,DE,20,Tennessee,4,"$12,850,772","$7,486,016","$2,336,504",2017
15  ,IND , Malik Hooker ,S,21,Ohio State,4,"$12,599,908","$2,290,892","$2,222,063",2017
16  ,BAL , Marlon Humphrey ,CB,20,Alabama,4,"$11,847,480","$6,756,348","$2,154,087",2017
17  ,WAS , Jonathan Allen ,DE,22,Alabama,4,"$11,596,377","$6,573,728","$2,032,726",2017
18  ,TEN , Adoree' Jackson ,CB,21,Southern California,4,"$11,282,783","$6,345,661","$2,051,415",2017
19  ,TB , O.J. Howard ,TE,22,Alabama,4,"$11,094,618","$6,208,813","$2,003,438",2017
20  ,DEN , Garett Bolles ,LT,24,Utah,4,"$11,031,904","$6,163,203","$2,005,800",2017
21  ,DET , Jarrad Davis ,ILB,22,Florida,4,"$10,969,183","$6,117,587","$1,994,396",2017
22  ,MIA , Charles Harris ,DE,22,Missouri,4,"$10,843,739","$6,026,356","$1,971,589",2017
23  ,NYG , Evan Engram ,TE,22,Mississippi,4,"$10,718,304","$5,935,130","$1,948,782",2017
24  ,OAK , Gareon Conley ,CB,21,Ohio State,4,"$10,467,424","$5,752,672","$1,854,992",2017
25  ,CLE  from HOU, Jabrill Peppers ,S,21,Michigan,4,"$10,341,989","$5,661,446","$1,880,361",2017
26  ,ATL  from SEA, Takkarist McKinley ,DE,21,California-Los Angeles,4,"$10,216,530","$5,570,204","$1,857,551",2017
27  ,BUF  from KC, Tre'Davious White ,CB,22,Louisiana State,4,"$10,091,110","$5,478,989","$1,834,747",2017
28  ,DAL , Taco Charlton ,DE,22,Michigan,4,"$10,028,388","$5,433,373","$1,823,343",2017
29  ,CLE  from GB, David Njoku ,TE,20,Miami (FL),4,"$9,525,095","$5,067,342","$1,731,835",2017
30  ,PIT , T.J. Watt ,OLB,22,Wisconsin,4,"$9,258,568","$4,873,504","$1,683,376",2017
