Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2018 Cap,year
1  ,CLE , Baker Mayfield ,QB,23,Oklahoma,4,"$32,682,980","$21,849,440","$5,942,360",2018
2  ,NYG , Saquon Barkley ,RB,21,Penn State,4,"$31,194,751","$20,767,092","$5,671,773",2018
3  ,NYJ  from IND, Sam Darnold ,QB,20,Southern California,4,"$30,247,715","$20,078,338","$5,499,584",2018
4  ,CLE  from HOU, Denzel Ward ,CB,20,Ohio State,4,"$29,165,356","$19,291,168","$5,302,792",2018
5  ,DEN , Bradley Chubb ,DE,21,North Carolina State,4,"$27,271,241","$17,913,630","$4,958,407",2018
6  ,IND  from NYJ, Quenton Nelson ,G,22,Notre Dame,4,"$23,888,907","$15,453,750","$4,343,437",2018
7  ,BUF  from TB, Josh Allen ,QB,21,Wyoming,4,"$21,183,038","$13,485,846","$3,851,461",2018
8  ,CHI , Roquan Smith ,LB,21,Georgia,4,"$18,477,168","$11,517,941","$3,359,485",2018
9  ,SF , Mike McGlinchey ,RT,23,Notre Dame,4,"$18,341,721","$11,419,434","$3,334,858",2018
10  ,ARI  from OAK, Josh Rosen ,QB,21,California-Los Angeles,4,"$17,597,756","$10,878,368","$3,199,592",2018
11  ,MIA , Minkah Fitzpatrick ,S,21,Alabama,4,"$16,447,773","$10,042,016","$2,990,504",2018
12  ,TB  from CIN via BUF, Vita Vea ,DT,23,Washington,4,"$14,824,238","$8,861,264","$2,695,316",2018
13  ,WAS , Da'Ron Payne ,DT,20,Alabama,4,"$14,418,360","$8,566,080","$2,621,520",2018
14  ,NO  from GB, Marcus Davenport ,DE,21,Texas-San Antonio,4,"$13,741,895","$8,074,105","$2,498,526",2018
15  ,OAK  from ARI, Kolton Miller ,LT,22,California-Los Angeles,4,"$13,471,324","$7,877,326","$2,449,331",2018
16  ,BUF  from BAL, Tremaine Edmunds ,ILB,19,Virginia Tech,4,"$12,659,544","$7,286,941","$2,301,735",2018
17  ,LAC , Derwin James ,S,21,Florida State,4,"$12,388,956","$7,090,150","$2,252,537",2018
18  ,GB  from SEA, Jaire Alexander ,CB,21,Louisville,4,"$12,050,687","$6,844,168","$2,191,041",2018
19  ,DAL , Leighton Vander Esch ,LB,21,Boise State,4,"$11,847,781","$6,696,568","$2,154,142",2018
20  ,DET , Frank Ragnow ,G,21,Arkansas,4,"$11,780,140","$6,647,375","$2,141,843",2018
21  ,CIN  from BUF, Billy Price ,C,22,Ohio State,4,"$11,712,491","$6,598,175","$2,129,543",2018
22  ,TEN  from KC via BUF via BAL, Rashaan Evans ,LB,21,Alabama,4,"$11,577,193","$6,499,777","$2,104,944",2018
23  ,NE  from LAR, Isaiah Wynn ,T,21,Georgia,4,"$11,441,903","$6,401,384","$2,080,346",2018
24  ,CAR , D.J. Moore ,WR,21,Maryland,4,"$11,171,316","$6,204,593","$2,031,148",2018
25  ,BAL  from TEN, Hayden Hurst ,TE,24,South Carolina,4,"$11,036,026","$6,106,201","$2,006,550",2018
26  ,ATL , Calvin Ridley ,WR,23,Alabama,4,"$10,900,711","$6,007,790","$1,981,947",2018
27  ,SEA  from NO via GB, Rashaad Penny ,RB,22,San Diego State,4,"$10,765,438","$5,909,409","$1,957,352",2018
28  ,PIT , Terrell Edmunds ,S,21,Virginia Tech,4,"$10,697,789","$5,860,210","$1,945,052",2018
29  ,JAC , Taven Bryan ,DT,22,Florida,4,"$10,154,958","$5,465,424","$1,846,356",2018
30  ,MIN , Mike Hughes ,CB,21,Central Florida,4,"$9,867,484","$5,256,352","$1,794,088",2018
31  ,NE , Sony Michel ,RB,23,Georgia,4,"$9,626,695","$5,081,233","$1,750,308",2018
32  ,BAL  from PHI, Lamar Jackson ,QB,21,Louisville,4,"$9,471,648","$4,968,471","$1,722,117",2018
33  ,CLE , Austin Corbett ,G,22,Nevada,4,"$7,568,000","$3,584,000","$1,376,000",2018
34  ,NYG , Will Hernandez ,G,22,Texas-El Paso,4,"$7,450,744","$3,498,723","$1,354,680",2018
