Pick,Team,Player,Pos,Age,College,Yrs,Total Value,Signing Bonus,2012 Cap,year
1  ,IND , Andrew Luck ,QB,22,Stanford,4,"$22,107,998","$14,518,544","$4,019,636",2012
2  ,WAS  from STL, Robert Griffin III ,QB,22,Baylor,4,"$21,119,098","$13,799,344","$3,839,836",2012
3  ,CLE  from MIN, Trent Richardson ,RB,21,Alabama,4,"$20,489,796","$13,341,000","$3,725,250",2012
4  ,MIN  from CLE, Matt Kalil ,LT,22,Southern California,4,"$19,770,598","$12,818,620","$3,594,655",2012
5  ,JAC  from TB, Justin Blackmon ,WR,22,Oklahoma State,4,"$18,512,010","$11,903,272","$3,365,818",2012
6  ,DAL  from WAS via STL, Morris Claiborne ,CB,22,Louisiana State,4,"$16,264,502","$10,268,728","$2,957,182",2012
7  ,TB  from JAC, Mark Barron ,ILB,22,Alabama,4,"$14,465,000","$8,961,092","$2,630,273",2012
8  ,MIA , Ryan Tannehill ,QB,23,Texas A&M,4,"$12,668,843","$7,653,456","$2,303,364",2012
9  ,CAR , Luke Kuechly ,ILB,21,Boston College,4,"$12,578,602","$7,588,072","$2,287,018",2012
10  ,BUF , Stephon Gilmore ,CB,21,South Carolina,4,"$12,084,150","$7,228,480","$2,197,120",2012
11  ,KC , Dontari Poe ,DT,21,Memphis,4,"$11,320,006","$6,672,730","$2,058,182",2012
12  ,PHI  from SEA, Fletcher Cox ,DT,21,Mississippi State,4,"$10,241,198","$5,888,144","$1,862,036",2012
13  ,ARI , Michael Floyd ,WR,22,Notre Dame,4,"$9,971,500","$5,692,000","$1,813,000",2012
14  ,STL  from DAL, Michael Brockers ,DT,21,Louisiana Tech,4,"$9,522,000","$5,365,088","$1,731,272",2012
15  ,SEA  from PHI, Bruce Irvin ,DE,25,West Virginia,4,"$9,342,198","$4,926,428","$1,698,582",2012
16  ,NYJ , Quinton Coples ,OLB,21,North Carolina,4,"$8,802,794","$4,842,032","$1,600,508",2012
17  ,CIN  from OAK, Dre Kirkpatrick ,CB,22,Alabama,4,"$8,622,796","$4,711,272","$1,567,818",2012
18  ,SD , Melvin Ingram ,OLB,23,South Carolina,4,"$8,398,236","$4,547,808","$1,526,952",2012
19  ,CHI , Shea McClellin ,OLB,22,Boise State,4,"$8,263,398","$4,449,744","$1,502,436",2012
20  ,TEN , Kendall Wright ,WR,22,Baylor,4,"$8,218,452","$4,417,056","$1,494,264",2012
21  ,NE  from CIN, Chandler Jones ,DE,22,Syracuse,4,"$8,172,552","$4,384,364","$1,486,091",2012
22  ,CLE  from ATL, Brandon Weeden ,QB,28,Oklahoma State,4,"$8,081,436","$4,318,000","$1,469,745",2012
23  ,DET , Riley Reiff ,LT,23,Iowa,4,"$7,993,700","$4,250,000","$1,453,400",2012
24  ,PIT , David DeCastro ,G,22,Stanford,4,"$7,813,898","$4,122,836","$1,420,709",2012
25  ,NE  from DEN, Dont'a Hightower ,ILB,22,Alabama,4,"$7,724,002","$4,057,456","$1,404,364",2012
26  ,HOU , Whitney Mercilus ,OLB,21,Illinois,4,"$7,634,088","$3,992,064","$1,388,016",2012
27  ,CIN  from NO via NE, Kevin Zeitler ,G,22,Wisconsin,4,"$7,544,200","$3,926,692","$1,371,673",2012
28  ,GB , Nick Perry ,OLB,22,Southern California,4,"$7,499,250","$3,894,000","$1,363,500",2012
29  ,MIN  from BAL, Harrison Smith ,FS,23,Notre Dame,4,"$7,138,546","$3,631,672","$1,297,918",2012
30  ,SF , A.J.  Jenkins ,WR,22,Illinois,4,"$6,947,533","$3,492,752","$1,263,188",2012
31  ,TB  from NE via DEN, Doug Martin ,RB,23,Boise State,4,"$6,787,816","$3,376,384","$1,234,096",2012
32  ,NYG , David Wilson ,RB,20,Virginia Tech,4,"$6,684,502","$3,301,456","$1,215,364",2012
33  ,STL , Brian Quick ,WR,22,Appalachian State,4,"$5,386,599","$2,357,528","$979,382",2012
34  ,IND , Coby Fleener ,TE,23,Stanford,4,"$5,341,648","$2,324,836","$971,209",2012
