pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
1,LAC *Traded to DET,Blake Griffin,PF,"6' 10""",250,United States,Oklahoma,2,"$10,340,710","$4,983,430",2009
2,MEM *Traded to DET,Hasheem Thabeet,C,,,,Connecticut,2,"$9,252,120","$4,458,840",2009
3,OKC *Traded to HOU,James Harden,SG,"6' 5""",220,United States,Arizona State,2,"$4,762,108","$4,004,160",2009
4,SAC *Traded to IND,Tyreke Evans,SG,"6' 6""",220,United States,Memphis,2,"$7,491,000","$3,610,080",2009
5,MIN *Traded to UTH,Ricky Rubio,PG,"6' 4""",190,Spain,,2,"$7,006,619",-,2009
6,MIN *Traded to DET,Jonny Flynn,PG,,,0,Syracuse,2,"$6,161,280","$2,969,280",2009
7,GSW ,Stephen Curry,PG,"6' 3""",190,United States,Davidson,2,"$5,624,400","$2,710,560",2009
8,NYK *Traded to MIN,Jordan Hill,C,"6' 10""",240,United States,Arizona,2,"$5,152,800","$2,483,280",2009
9,TOR *Traded to SAS,DeMar DeRozan,SG,"6' 7""",220,United States,Southern California,2,"$4,736,520","$2,282,640",2009
10,MIL ,Brandon Jennings,PG,"6' 1""",170,United States,,2,"$4,499,640","$2,168,520",2009
11,NJN *Traded to BOS,Terrence Williams,SG,,,,Louisville,2,"$4,274,520",-,2009
12,CHA *Traded to PHI,Gerald Henderson,SG,"6' 5""",215,United States,Duke,2,"$4,060,920","$1,957,080",2009
13,IND *Traded to CHA,Tyler Hansbrough,PF,"6' 9""",250,United States,North Carolina,2,"$3,857,760","$1,859,160",2009
14,PHX *Traded to BKN,Earl Clark,SF,,,,Louisville,2,"$3,665,040","$1,766,280",2009
15,DET *Traded to CLE,Austin Daye,PF,"6' 11""",220,,Gonzaga,2,"$3,481,560","$1,677,840",2009
16,CHI *Traded to MIA,James Johnson,PF,"6' 8""",240,United States,Wake Forest,2,"$3,307,680","$1,594,080",2009
17,PHI *Traded to NOP,Jrue Holiday,PG,"6' 4""",205,United States,California-Los Angeles,2,"$3,141,570","$1,514,280",2009
18,MIN *Traded to WAS,Ty Lawson,PG,"5' 11""",195,United States,North Carolina,2,"$2,985,240","$1,438,680",2009
19,ATL *Traded to MIN,Jeff Teague,PG,"6' 2""",195,United States,Wake Forest,2,"$2,850,720","$1,373,880",2009
20,UTH *Traded to PHI,Eric Maynor,PG,,,,Virginia Commonwealth,2,"$2,736,720",-,2009
21,NOH *Traded to IND,Darren Collison,PG,"6' 0""",175,United States,California-Los Angeles,2,"$2,627,160","$1,266,120",2009
22,POR *Traded to DEN,Victor Claver,SF,,,,,3,"$4,000,000",-,2009
23,SAC *Traded to MEM,Omri Casspi,SF,"6' 9""",225,Israel,,2,"$2,421,480","$1,167,000",2009
24,DAL *Traded to PHI,B.J. Mullens,PF,,,United States,Ohio State,2,"$2,492,400","$1,120,200",2009
25,OKC *Traded to DAL,Rodrigue Beaubois,PG,,,0,,2,"$2,231,520","$1,075,440",2009
26,CHI *Traded to MIN,Taj Gibson,PF,"6' 9""",232,United States,Southern California,2,"$2,157,480","$1,039,800",2009
27,MEM *Traded to BKN,DeMarre Carroll,SF,"6' 8""",215,United States,Missouri,2,"$2,095,080","$1,009,680",2009
28,MIN *Traded to MIA,Wayne Ellington,SG,"6' 5""",200,United States,North Carolina,2,"$2,082,360","$1,003,560",2009
29,LAL *Traded to MEM,Toney Douglas,SG,"6' 2""",195,,Florida State,2,"$2,067,240","$996,240",2009
30,CLE *Traded to ORL,Christian Eyenga,PG,,,0,,2,"$2,120,000",-,2009
31,SAC *Traded to LAC,Jeff Ayres,PF,"6' 9""",250,United States,Arizona State,3,"$2,104,076","$457,588",2009
