pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
1,PHI  from BKN via BOS,Markelle Fultz,PG,"6' 4""",200,United States,Washington,2,"$15,366,120","$7,026,240",2017
2,LAL ,Lonzo Ball,PG,"6' 6""",190,United States,California-Los Angeles,2,"$13,748,520","$6,286,560",2017
3,BOS  from SAC via PHI,Jayson Tatum,SF,"6' 8""",208,United States,Duke,2,"$12,346,200","$5,645,400",2017
4,PHX ,Josh Jackson,SF,,,United States,Kansas,2,"$11,131,560","$5,090,040",2017
5,SAC  from PHI,De'Aaron Fox,PG,"6' 3""",175,United States,Kentucky,2,"$10,080,120","$4,609,200",2017
6,ORL ,Jonathan Isaac,PF,"6' 10""",210,United States,Florida State,2,"$9,155,400","$4,186,320",2017
7,MIN *Traded to CHI,Lauri Markkanen,PF,"7' 0""",240,Finland,Arizona,2,"$8,357,760","$3,821,640",2017
8,NYK ,Frank Ntilikina,PG,"6' 6""",200,France,,2,"$7,656,840","$3,501,120",2017
9,DAL ,Dennis Smith Jr.,PG,"6' 3""",195,United States,North Carolina State,2,"$7,038,240","$3,218,280",2017
10,SAC  from NOP*Traded to POR,Zach Collins,C,"7' 0""",235,United States,Gonzaga,2,"$6,686,160","$3,057,240",2017
11,CHA ,Malik Monk,SG,"6' 3""",200,United States,Kentucky,2,"$6,351,960","$2,904,480",2017
12,DET ,Luke Kennard,SG,"6' 5""",206,United States,Duke,2,"$6,034,560","$2,759,280",2017
13,DEN *Traded to UTH,Donovan Mitchell,SG,"6' 3""",215,United States,Louisville,2,"$5,732,760","$2,621,280",2017
14,MIA ,Edrice Adebayo,C,"6' 10""",255,United States,Kentucky,2,"$5,446,200","$2,490,360",2017
15,POR *Traded to SAC,Justin Jackson,SF,"6' 8""",210,United States,North Carolina,2,"$5,173,440","$2,365,560",2017
16,CHI *Traded to PHI,Justin Patton,C,"7' 0""",241,United States,Creighton,2,"$4,915,080","$2,247,480",2017
17,MIL ,DJ Wilson,PF,"6' 10""",231,United States,Michigan,2,"$4,669,320","$2,135,040",2017
18,IND ,TJ Leaf,PF,"6' 10""",225,Israel,California-Los Angeles,2,"$4,435,920","$2,028,360",2017
