pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
1,CLE *Traded to BOS,Kyrie Irving,PG,"6' 3""",193,Australia,Duke,2,"$11,007,960","$5,144,280",2011
2,MIN *Traded to LAL,Derrick Williams,PF,"6' 8""",240,United States,Arizona,2,"$9,412,560","$4,602,720",2011
3,UTH *Traded to NYK,Enes Kanter,C,"6' 11""",245,Switzerland,Kentucky,2,"$8,844,720","$4,133,280",2011
4,CLE ,Tristan Thompson,C,"6' 10""",238,Canada,Texas,2,"$7,382,638","$3,726,600",2011
5,TOR ,Jonas Valanciunas,C,"7' 0""",265,Lithuania,,2,"$6,901,080",-,2011
6,WAS *Traded to DEN,Jan Vesely,SF,,,,,2,"$6,267,960","$3,065,040",2011
7,SAC *Traded to CHA,Bismack Biyombo,C,"6' 9""",255,"Congo, Democratic Republic of the",,2,"$5,721,960","$2,798,040",2011
8,DET *Traded to HOU,Brandon Knight,PG,"6' 3""",195,United States,Kentucky,2,"$5,241,960","$2,563,320",2011
9,CHA *Traded to CHA,Kemba Walker,PG,"6' 1""",184,United States,Connecticut,2,"$4,818,720","$2,356,320",2011
10,MIL *Traded to NYK,Jimmer Fredette,PG,"6' 2""",195,United States,Brigham Young,2,"$4,577,400","$2,238,360",2011
11,GSW ,Klay Thompson,SG,"6' 7""",215,United States,Washington State,2,"$4,348,680","$2,126,520",2011
12,UTH *Traded to CLE,Alec Burks,SG,"6' 6""",214,United States,Colorado,2,"$4,322,880","$2,020,200",2011
13,PHX *Traded to WAS,Markieff Morris,PF,"6' 10""",245,United States,Kansas,2,"$3,924,720","$1,919,160",2011
14,HOU *Traded to BOS,Marcus Morris,PF,"6' 9""",235,United States,Kansas,2,"$3,728,640","$1,823,280",2011
15,IND *Traded to TOR,Kawhi Leonard,SF,"6' 7""",230,United States,San Diego State,2,"$3,541,800","$1,731,960",2011
16,PHI *Traded to ORL,Nikola Vucevic,C,"7' 0""",260,Switzerland,Southern California,2,"$3,364,920","$1,645,440",2011
