player,war,year,id,college,state,percentile
Sergio Mitre,0.0,2011,mitrese01,San Diego City College,CA,68.88633754305395
Adam Moore,0.0,2011,mooread01,University of Texas at Arlington,TX,68.88633754305395
Mitch Moreland,0.0,2011,morelmi01,Mississippi State University,MS,68.88633754305395
Daniel Moskos,0.0,2011,moskoda01,Clemson University,SC,66.24569460390356
Jason Motte,0.0,2011,motteja01,Iona College,NY,66.24569460390356
Joe Nathan,0.0,2011,nathajo01,Stony Brook University,NY,66.24569460390356
Pat Neshek,0.0,2011,neshepa01,Butler University,IN,66.24569460390356
Mike Nickeas,0.0,2011,nickemi01,Georgia Institute of Technology,GA,66.24569460390356
Jeff Niemann,0.0,2011,niemaje01,Rice University,TX,66.24569460390356
Mike O'Connor,0.0,2011,oconnmi01,George Washington University,DC,66.24569460390356
Will Ohman,0.0,2011,ohmanwi01,Pepperdine University,CA,66.24569460390356
Garrett Olson,0.0,2011,olsonga01,"California Polytechnic State University, San Luis Obispo",CA,66.24569460390356
Micah Owings,0.0,2011,owingmi01,Georgia Institute of Technology,GA,66.24569460390356
Jonathan Papelbon,0.0,2011,papeljo01,Mississippi State University,MS,66.24569460390356
Bobby Parnell,0.0,2011,parnebo01,Charleston Southern University,SC,66.24569460390356
Val Pascucci,0.0,2011,pascuva01,University of Oklahoma,OK,66.24569460390356
Joe Paterson,0.0,2011,paterjo01,Linfield College,OR,66.24569460390356
Lance Pendleton,0.0,2011,pendlla01,Rice University,TX,66.24569460390356
Chris Perez,0.0,2011,perezch01,University of Miami,FL,66.24569460390356
Glen Perkins,0.0,2011,perkigl01,University of Minnesota,MN,66.24569460390356
Ryan Perry,0.0,2011,perryry01,University of Arizona,AZ,66.24569460390356
Vinnie Pestano,0.0,2011,pestavi01,California State University Fullerton,CA,66.24569460390356
Chris Pettit,0.0,2011,pettich01,Loyola Marymount University,CA,66.24569460390356
Drew Pomeranz,0.0,2011,pomerdr01,University of Mississippi,MS,66.24569460390356
David Price,0.0,2011,priceda01,Vanderbilt University,TN,66.24569460390356
Scott Proctor,0.0,2011,proctsc01,Florida State University,FL,66.24569460390356
David Purcey,0.0,2011,purceda01,University of Oklahoma,OK,66.24569460390356
J.J. Putz,0.0,2011,putzjj01,University of Michigan,MI,66.24569460390356
Chad Qualls,0.0,2011,quallch01,Los Angeles Harbor College,CA,66.24569460390356
Ryan Raburn,0.0,2011,raburry01,South Florida Community College,FL,66.24569460390356
Cesar Ramos,0.0,2011,ramosce01,California State University Long Beach,CA,66.24569460390356
Clay Rapada,0.0,2011,rapadcl01,Virginia State University,VA,66.24569460390356
Jon Rauch,0.0,2011,rauchjo01,Morehead State University,KY,66.24569460390356
Chris Ray,0.0,2011,raych01,College of William and Mary,VA,66.24569460390356
Greg Reynolds,0.0,2011,reynogr01,Stanford University,CA,66.24569460390356
Matt Reynolds,0.0,2011,reynoma02,Austin Peay State University,TN,66.24569460390356
Mike Rivera,0.0,2011,rivermi02,Troy University,AL,66.24569460390356
David Robertson,0.0,2011,roberda08,University of Alabama,AL,66.24569460390356
Josh Roenicke,0.0,2011,roenijo01,"University of California, Los Angeles",CA,66.24569460390356
Ryan Rohlinger,0.0,2011,rohliry01,University of Oklahoma,OK,66.24569460390356
Ricky Romero,0.0,2011,romerri01,California State University Fullerton,CA,66.24569460390356
Sergio Romo,0.0,2011,romose01,Arizona Western College,AZ,66.24569460390356
Chance Ruffin,0.0,2011,ruffich01,University of Texas at Austin,TX,66.24569460390356
Adam Russell,0.0,2011,russead01,Ohio University,OH,66.24569460390356
James Russell,0.0,2011,russeja02,University of Texas at Austin,TX,61.82548794489093
Marc Rzepczynski,0.0,2011,rzepcma01,"University of California, Riverside",CA,61.82548794489093
Chris Sale,0.0,2011,salech01,Florida Gulf Coast University,FL,61.82548794489093
Brian Sanches,0.0,2011,sanchbr01,Lamar University,TX,61.82548794489093
Dave Sappelt,0.0,2011,sappeda01,Coastal Carolina University,SC,61.82548794489093
Joe Savery,0.0,2011,saverjo01,Rice University,TX,61.82548794489093
Daniel Schlereth,0.0,2011,schleda01,University of Arizona,AZ,61.82548794489093
Michael Schwimer,0.0,2011,schwimi01,University of Virginia,VA,61.82548794489093
Evan Scribner,0.0,2011,scribev01,Central Connecticut State University,CT,61.82548794489093
Bryan Shaw,0.0,2011,shawbr01,California State University Long Beach,CA,61.82548794489093
George Sherrill,0.0,2011,sherrge01,Austin Peay State University,TN,61.82548794489093
JB Shuck,0.0,2011,shuckja01,The Ohio State University,OH,61.82548794489093
Tony Sipp,0.0,2011,sippto01,Clemson University,SC,61.82548794489093
Doug Slaten,0.0,2011,slatedo01,Los Angeles Pierce College,CA,61.82548794489093
Kevin Slowey,0.0,2011,sloweke01,Winthrop University,SC,61.82548794489093
Joe Smith,0.0,2011,smithjo05,Wright State University,OH,61.82548794489093
Andy Sonnanstine,0.0,2011,sonnaan01,Kent State University,OH,61.82548794489093
Josh Spence,0.0,2011,spencjo01,Arizona State University,AZ,61.82548794489093
Craig Stammen,0.0,2011,stammcr01,University of Dayton,OH,61.82548794489093
Mitch Stetter,0.0,2011,stettmi01,Indiana State University,IN,61.82548794489093
Jeff Stevens,0.0,2011,steveje01,Loyola Marymount University,CA,61.82548794489093
Zach Stewart,0.0,2011,stewaza01,Texas Tech University,TX,61.82548794489093
Drew Storen,0.0,2011,storedr01,Stanford University,CA,61.82548794489093
Stephen Strasburg,0.0,2011,strasst01,San Diego State University,CA,61.82548794489093
Huston Street,0.0,2011,streehu01,University of Texas at Austin,TX,61.82548794489093
Eric Surkamp,0.0,2011,surkaer01,North Carolina State University,NC,61.82548794489093
Brian Tallet,0.0,2011,tallebr01,Louisiana State University,LA,61.82548794489093
Joe Thatcher,0.0,2011,thatcjo01,Indiana State University,IN,61.82548794489093
Matt Thornton,0.0,2011,thornma01,Grand Valley State University,MI,61.82548794489093
Joe Thurston,0.0,2011,thursjo01,Sacramento City College,CA,61.82548794489093
Matt Tolbert,0.0,2011,tolbema01,University of Mississippi,MS,61.82548794489093
Brett Tomko,0.0,2011,tomkobr01,Florida Southern College,FL,61.82548794489093
Jason Vargas,0.0,2011,vargaja01,Cypress College,CA,61.82548794489093
Anthony Varvaro,0.0,2011,varvaan01,St. John's University,NY,61.82548794489093
Elih Villanueva,0.0,2011,villael01,Florida International University,FL,61.82548794489093
Cory Wade,0.0,2011,wadeco01,Kentucky Wesleyan College,KY,61.82548794489093
P.J. Walters,0.0,2011,waltepj01,University of South Alabama,AL,61.82548794489093
Tony Watson,0.0,2011,watsoto01,University of Nebraska at Lincoln,NE,61.82548794489093
Dan Wheeler,0.0,2011,wheelda01,Central Arizona College,AZ,61.82548794489093
Adam Wilk,0.0,2011,wilkad01,California State University Long Beach,CA,61.82548794489093
Bobby Wilson,0.0,2011,wilsobo02,St. Petersburg College,FL,61.82548794489093
Brian Wilson,0.0,2011,wilsobr01,Louisiana State University,LA,61.82548794489093
Randy Wolf,0.0,2011,wolfra02,Pepperdine University,CA,61.82548794489093
Blake Wood,0.0,2011,woodbl01,Georgia Institute of Technology,GA,61.82548794489093
Danny Worth,0.0,2011,worthda01,Pepperdine University,CA,61.82548794489093
Mike Zagurski,0.0,2011,zagurmi01,University of Kansas,KS,61.82548794489093
Brad Ziegler,0.0,2011,zieglbr01,Missouri State University,MO,61.82548794489093
John Baker,-0.1,2011,bakerjo01,"University of California, Berkeley",CA,61.82548794489093
Anthony Bass,-0.1,2011,bassan01,Wayne State University,MI,61.82548794489093
Corey Brown,-0.1,2011,brownco01,Oklahoma State University,OK,61.82548794489093
Brett Carroll,-0.1,2011,carrobr01,Middle Tennessee State University,TN,61.82548794489093
Alex Cora,-0.1,2011,coraal01,University of Miami,FL,61.82548794489093
Chris Davis,-0.1,2011,davisch02,Navarro College,TX,61.82548794489093
Ross Detwiler,-0.1,2011,detwiro01,Missouri State University,MO,61.82548794489093
Brian Duensing,-0.1,2011,duensbr01,University of Nebraska at Lincoln,NE,61.82548794489093
John Ely,-0.1,2011,elyjo01,Miami University of Ohio,OH,61.82548794489093
Dana Eveland,-0.1,2011,evelada01,College of the Canyons,CA,61.82548794489093
Tom Gorzelanny,-0.1,2011,gorzeto01,Triton College,IL,61.82548794489093
Mark Hamilton,-0.1,2011,hamilma01,Tulane University,LA,61.82548794489093
Robby Hammock,-0.1,2011,hammoro01,Georgia Perimeter College,GA,61.82548794489093
Tim Hudson,-0.1,2011,hudsoti01,Chattahoochee Valley Community College,AL,61.82548794489093
Philip Humber,-0.1,2011,humbeph01,Rice University,TX,61.82548794489093
Jeff Karstens,-0.1,2011,karstje01,Grossmont College,CA,61.82548794489093
Kyle Lohse,-0.1,2011,lohseky01,Butte College,CA,61.82548794489093
Matt Maloney,-0.1,2011,malonma02,University of Mississippi,MS,61.82548794489093
Daniel McCutchen,-0.1,2011,mccutda01,University of Central Oklahoma,OK,61.82548794489093
Andrew Miller,-0.1,2011,millean01,University of North Carolina at Chapel Hill,NC,61.82548794489093
Brandon Morrow,-0.1,2011,morrobr01,"University of California, Berkeley",CA,61.82548794489093
Efren Navarro,-0.1,2011,navaref01,University of Nevada-Las Vegas,NV,61.82548794489093
Bud Norris,-0.1,2011,norribu01,"California Polytechnic State University, San Luis Obispo",CA,61.82548794489093
Josh Outman,-0.1,2011,outmajo01,University of Central Missouri,MO,40.75774971297359
Mike Pelfrey,-0.1,2011,pelfrmi01,Wichita State University,KS,40.75774971297359
Joel Pineiro,-0.1,2011,pineijo01,Edison College,FL,40.75774971297359
Chad Reineke,-0.1,2011,reinech01,Miami University of Ohio,OH,40.75774971297359
Clayton Richard,-0.1,2011,richacl01,University of Michigan,MI,40.75774971297359
Josh Rodriguez,-0.1,2011,rodrijo05,Rice University,TX,40.75774971297359
Vinny Rottino,-0.1,2011,rottivi01,University of Wisconsin at La Crosse,WI,40.75774971297359
Jeff Samardzija,-0.1,2011,samarje01,University of Notre Dame,IN,40.75774971297359
Omir Santos,-0.1,2011,santoom01,East Central College,MO,40.75774971297359
Josh Satin,-0.1,2011,satinjo01,"University of California, Berkeley",CA,40.75774971297359
Max Scherzer,-0.1,2011,scherma01,University of Missouri Columbia,MO,40.75774971297359
Craig Tatum,-0.1,2011,tatumcr01,Mississippi State University,MS,40.75774971297359
Wyatt Toregas,-0.1,2011,toregwy01,Virginia Polytechnic Institute and State University,VA,40.75774971297359
Justin Verlander,-0.1,2011,verlaju01,Old Dominion University,VA,40.75774971297359
Tim Wakefield,-0.1,2011,wakefti01,Florida Institute of Technology,FL,40.75774971297359
Jered Weaver,-0.1,2011,weaveje02,California State University Long Beach,CA,40.75774971297359
Randy Wells,-0.1,2011,wellsra01,Southwestern Illinois College,IL,40.75774971297359
Alex White,-0.1,2011,whiteal01,University of North Carolina at Chapel Hill,NC,40.75774971297359
Matt Angle,-0.2,2011,anglema01,The Ohio State University,OH,40.75774971297359
Jason Bartlett,-0.2,2011,bartlja01,San Joaquin Delta College,CA,40.75774971297359
Willie Bloomquist,-0.2,2011,bloomwi01,Arizona State University,AZ,40.75774971297359
Andrew Brown,-0.2,2011,brownan02,University of Nebraska at Lincoln,NE,40.75774971297359
Emmanuel Burriss,-0.2,2011,burriem01,Kent State University,OH,40.75774971297359
Matt Carpenter,-0.2,2011,carpema01,Texas Christian University,TX,40.75774971297359
David Cooper,-0.2,2011,coopeda01,"University of California, Berkeley",CA,40.75774971297359
Kevin Correia,-0.2,2011,correke01,"California Polytechnic State University, San Luis Obispo",CA,40.75774971297359
Doug Davis,-0.2,2011,davisdo02,Diablo Valley College,CA,40.75774971297359
Adam Everett,-0.2,2011,everead01,University of South Carolina,SC,40.75774971297359
Jake Fox,-0.2,2011,foxja02,University of Michigan,MI,40.75774971297359
Dillon Gee,-0.2,2011,geedi01,University of Texas at Arlington,TX,40.75774971297359
Jay Gibbons,-0.2,2011,gibboja01,California State University Los Angeles,CA,40.75774971297359
Clay Hensley,-0.2,2011,henslcl01,Lamar University,TX,40.75774971297359
Steve Holm,-0.2,2011,holmst01,American River College,CA,40.75774971297359
Aubrey Huff,-0.2,2011,huffau01,University of Miami,FL,40.75774971297359
Rob Johnson,-0.2,2011,johnsro07,Saddleback College,CA,40.75774971297359
John Lannan,-0.2,2011,lannajo01,Siena College,NY,40.75774971297359
Adam LaRoche,-0.2,2011,larocad01,Fort Scott Community College,KS,40.75774971297359
Andy LaRoche,-0.2,2011,larocan01,Grayson County College,TX,40.75774971297359
DJ LeMahieu,-0.2,2011,lemahdj01,Louisiana State University,LA,40.75774971297359
Adam Loewen,-0.2,2011,loewead01,Chipola College,FL,40.75774971297359
Ryan Ludwick,-0.2,2011,ludwiry01,University of Nevada-Las Vegas,NV,40.75774971297359
Julio Lugo,-0.2,2011,lugoju01,Connors State College,OK,40.75774971297359
Darin Mastroianni,-0.2,2011,mastrda01,University of Southern Indiana,IN,40.75774971297359
Dallas McPherson,-0.2,2011,mcpheda01,The Citadel,SC,40.75774971297359
Clayton Mortensen,-0.2,2011,mortecl01,Gonzaga University,WA,40.75774971297359
Roy Oswalt,-0.2,2011,oswalro01,Holmes Community College,MS,40.75774971297359
Landon Powell,-0.2,2011,powella01,University of South Carolina,SC,40.75774971297359
Cody Ransom,-0.2,2011,ransoco01,South Mountain Community College,AZ,40.75774971297359
Jeremy Reed,-0.2,2011,reedje03,California State University Long Beach,CA,40.75774971297359
Shane Robinson,-0.2,2011,robinsh01,Florida State University,FL,40.75774971297359
Andrew Romine,-0.2,2011,rominan01,Arizona State University,AZ,40.75774971297359
Brad Snyder,-0.2,2011,snydebr02,Ball State University,IN,40.75774971297359
Michael Taylor,-0.2,2011,taylomi01,Stanford University,CA,40.75774971297359
Ty Wigginton,-0.2,2011,wiggity01,University of North Carolina at Asheville,NC,40.75774971297359
Barry Zito,-0.2,2011,zitoba01,Los Angeles Pierce College,CA,40.75774971297359
Brian Bixler,-0.3,2011,bixlebr01,Eastern Michigan University,MI,40.75774971297359
Greg Dobbs,-0.3,2011,dobbsgr01,Riverside Community College,CA,40.75774971297359
Ross Gload,-0.3,2011,gloadro01,University of South Florida,FL,40.75774971297359
Joe Inglett,-0.3,2011,inglejo01,University of Nevada-Reno,NV,40.75774971297359
Tim Lincecum,-0.3,2011,linceti01,University of Washington,WA,40.75774971297359
James McDonald,-0.3,2011,mcdonja03,Golden West College,CA,40.75774971297359
Donnie Murphy,-0.3,2011,murphdo01,Orange Coast College,CA,40.75774971297359
Xavier Nady,-0.3,2011,nadyxa01,"University of California, Berkeley",CA,40.75774971297359
Eric Patterson,-0.3,2011,patteer01,Georgia Institute of Technology,GA,40.75774971297359
Will Rhymes,-0.3,2011,rhymewi01,College of William and Mary,VA,40.75774971297359
Mark Teahen,-0.3,2011,teahema01,St. Mary's College of California,CA,40.75774971297359
Chris Woodward,-0.3,2011,woodwch01,Mount San Antonio College,CA,40.75774971297359
John Bowker,-0.4,2011,bowkejo01,California State University Long Beach,CA,40.75774971297359
Chase d'Arnaud,-0.4,2011,darnach01,Pepperdine University,CA,40.75774971297359
James Darnell,-0.4,2011,darneja01,University of South Carolina,SC,40.75774971297359
Mat Gamel,-0.4,2011,gamelma01,Chipola College,FL,40.75774971297359
Matt Garza,-0.4,2011,garzama01,California State University Fresno,CA,40.75774971297359
Aaron Harang,-0.4,2011,haranaa01,San Diego State University,CA,40.75774971297359
Brad Hawpe,-0.4,2011,hawpebr01,Louisiana State University,LA,40.75774971297359
Brandon Hicks,-0.4,2011,hicksbr01,Texas A&M University,TX,40.75774971297359
Kyle Hudson,-0.4,2011,hudsoky01,University of Illinois at Urbana-Champaign,IL,40.75774971297359
Jeff Keppinger,-0.4,2011,keppije01,University of Georgia,GA,40.75774971297359
Gerald Laird,-0.4,2011,lairdge01,Cypress College,CA,40.75774971297359
Jorge Posada,-0.4,2011,posadjo01,Calhoun Community College,AL,40.75774971297359
Omar Quintanilla,-0.4,2011,quintom01,University of Texas at Austin,TX,40.75774971297359
Danny Valencia,-0.4,2011,valenda01,University of Miami,FL,40.75774971297359
Reggie Willits,-0.4,2011,willire03,University of Oklahoma,OK,40.75774971297359
Chris Capuano,-0.5,2011,capuach01,Duke University,NC,40.75774971297359
Koyie Hill,-0.5,2011,hillko01,Wichita State University,KS,40.75774971297359
Kevin Kouzmanoff,-0.5,2011,kouzmke01,University of Arkansas at Little Rock,AR,40.75774971297359
Ted Lilly,-0.5,2011,lillyte01,Fresno City College,CA,40.75774971297359
Jason Michaels,-0.5,2011,michaja01,Northwest Florida State College,FL,40.75774971297359
Lyle Overbay,-0.5,2011,overbly01,University of Nevada-Reno,NV,40.75774971297359
Jordan Pacheco,-0.5,2011,pachejo01,University of New Mexico,NM,40.75774971297359
Eli Whiteside,-0.5,2011,whiteel03,Delta State University,MS,40.75774971297359
Paul Janish,-0.6,2011,janispa01,Rice University,TX,40.75774971297359
Blake Tekotte,-0.6,2011,tekotbl01,University of Miami,FL,40.75774971297359
Marcus Thames,-0.6,2011,thamema01,East Central Community College,MS,40.75774971297359
Charlie Blackmon,-0.7,2011,blackch02,Georgia Institute of Technology,GA,40.75774971297359
Brad Emaus,-0.7,2011,emausbr01,Tulane University,LA,40.75774971297359
Casey McGehee,-0.7,2011,mcgehca01,California State University Fresno,CA,40.75774971297359
Steve Pearce,-0.7,2011,pearcst01,Indian River Community College,FL,40.75774971297359
Adam Rosales,-0.7,2011,rosalad01,Western Michigan University,MI,40.75774971297359
Rajai Davis,-0.8,2011,davisra01,University of Connecticut at Avery Point,CT,40.75774971297359
Matt Diaz,-0.8,2011,diazma02,Florida State University,FL,40.75774971297359
Ben Francisco,-0.8,2011,francbe01,Cypress College,CA,40.75774971297359
Chris Johnson,-0.8,2011,johnsch05,Stetson University,FL,40.75774971297359
Matt LaPorta,-0.8,2011,laporma01,University of Florida,FL,40.75774971297359
Alfredo Amezaga,-0.9,2011,amezaal01,St. Petersburg College,FL,40.75774971297359
Dan Johnson,-0.9,2011,johnsda06,Butler University,IN,40.75774971297359
Cord Phelps,-0.9,2011,phelpco01,Stanford University,CA,40.75774971297359
Juan Pierre,-0.9,2011,pierrju01,University of South Alabama,AL,40.75774971297359
Brandon Inge,-1.0,2011,ingebr01,Virginia Commonwealth University,VA,40.75774971297359
Willie Harris,-1.1,2011,harriwi02,Louisiana State University,LA,40.75774971297359
Tyler Colvin,-1.2,2011,colvity01,Clemson University,SC,40.75774971297359
Chris Coghlan,-1.3,2011,coghlch01,University of Mississippi,MS,40.75774971297359
Drew Butera,-1.6,2011,buterdr01,University of Central Florida,FL,40.75774971297359
Raul Ibanez,-1.7,2011,ibanera01,"Miami-Dade College, Kendall Campus",FL,40.75774971297359
Ryan Spilborghs,-1.7,2011,spilbry01,"University of California, Santa Barbara",CA,40.75774971297359
Pedro Alvarez,-1.8,2011,alvarpe01,Vanderbilt University,TN,40.75774971297359
Scott Atchison,,2011,atchisc01,Texas Christian University,TX,40.75774971297359
Dylan Axelrod,,2011,axelrdy01,"University of California, Irvine",CA,40.75774971297359
Chad Beck,,2011,beckch01,University of Louisiana at Lafayette,LA,40.75774971297359
Andrew Brackman,,2011,brackan01,North Carolina State University,NC,40.75774971297359
Dallas Braden,,2011,bradeda01,American River College,CA,40.75774971297359
Clay Buchholz,,2011,buchhcl01,McNeese State University,LA,40.75774971297359
Andrew Carignan,,2011,carigan01,University of North Carolina at Chapel Hill,NC,40.75774971297359
Brett Cecil,,2011,cecilbr01,University of Maryland,MD,40.75774971297359
Joba Chamberlain,,2011,chambjo03,University of Nebraska at Kearney,NE,40.75774971297359
Jesse Chavez,,2011,chaveje01,Riverside Community College,CA,40.75774971297359
Mike Ekstrom,,2011,ekstrmi01,Oregon State University,OR,40.75774971297359
Cody Eppley,,2011,eppleco01,Virginia Commonwealth University,VA,40.75774971297359
Willie Eyre,,2011,eyrewi01,College of Eastern Utah,UT,40.75774971297359
Danny Farquhar,,2011,farquda01,University of Louisiana at Lafayette,LA,40.75774971297359
Scott Feldman,,2011,feldmsc01,College of San Mateo,CA,40.75774971297359
Nick Hagadone,,2011,hagadni01,University of Washington,WA,40.75774971297359
Rich Harden,,2011,harderi01,Central Arizona College,AZ,40.75774971297359
Mark Hendrickson,,2011,hendrma01,Washington State University,WA,40.75774971297359
Rich Hill,,2011,hillri01,University of Michigan,MI,40.75774971297359
David Huff,,2011,huffda01,"University of California, Irvine",CA,40.75774971297359
Chuck James,,2011,jamesch03,Chattahoochee Valley Community College,AL,40.75774971297359
Casey Janssen,,2011,janssca01,"University of California, Los Angeles",CA,40.75774971297359
Shawn Kelley,,2011,kellesh01,Austin Peay State University,TN,40.75774971297359
Josh Kinney,,2011,kinnejo01,Quincy University,IL,40.75774971297359
Corey Kluber,,2011,klubeco01,Stetson University,FL,40.75774971297359
George Kontos,,2011,kontoge01,Northwestern University,IL,40.75774971297359
Trystan Magnuson,,2011,magnutr01,University of Louisville,KY,40.75774971297359
Jeff Manship,,2011,manshje01,University of Notre Dame,IN,40.75774971297359
Brandon McCarthy,,2011,mccarbr01,Lamar Community College,CO,40.75774971297359
Brad Mills,,2011,millsbr02,University of Arizona,AZ,40.75774971297359
Darren O'Day,,2011,odayda01,University of Florida,FL,40.75774971297359
Andy Oliver,,2011,olivean01,Oklahoma State University,OK,40.75774971297359
Matt Palmer,,2011,palmema01,Three Rivers Community College,MO,40.75774971297359
Zach Putnam,,2011,putnaza01,University of Michigan,MI,40.75774971297359
Addison Reed,,2011,reedad01,San Diego State University,CA,40.75774971297359
Garrett Richards,,2011,richaga01,University of Oklahoma,OK,40.75774971297359
Scott Richmond,,2011,richmsc01,Bossier Parish Community College,LA,40.75774971297359
Tyson Ross,,2011,rossty01,"University of California, Berkeley",CA,40.75774971297359
Josh Rupe,,2011,rupejo01,Louisburg College,NC,40.75774971297359
Anthony Slama,,2011,slamaan01,Santa Ana College,CA,40.75774971297359
Everett Teaford,,2011,teafoev01,Georgia Southern University,GA,40.75774971297359
Anthony Vasquez,,2011,vasquan01,Texas A&M University,TX,40.75774971297359
Neil Wagner,,2011,wagnene01,North Dakota State University,ND,40.75774971297359
Kyle Weiland,,2011,weilaky01,University of Notre Dame,IN,40.75774971297359
Robbie Weinhardt,,2011,weinhro01,Oklahoma State University,OK,40.75774971297359
Kevin Whelan,,2011,whelake01,Texas A&M University,TX,40.75774971297359
Jerome Williams,,2011,willije01,Southeastern Louisiana University,LA,40.75774971297359
Randy Williams,,2011,willira01,Lamar University,TX,40.75774971297359
Mark Worrell,,2011,worrema01,University of Arizona,AZ,40.75774971297359
Yasmani Grandal,2.5,2012,grandya01,University of Miami,FL,40.75774971297359
Justin Maxwell,2.2,2012,maxweju01,University of Maryland,MD,40.75774971297359
Kevin Frandsen,1.6,2012,frandke01,San Jose State University,CA,40.75774971297359
Josh Donaldson,1.5,2012,donaljo02,Auburn University,AL,40.75774971297359
Jason Castro,1.2,2012,castrja01,Stanford University,CA,40.75774971297359
Brian Dozier,0.7,2012,doziebr01,University of Southern Mississippi,MS,40.75774971297359
Adam Eaton,0.7,2012,eatonad02,Miami University of Ohio,OH,40.75774971297359
Quintin Berry,0.5,2012,berryqu01,San Diego State University,CA,40.75774971297359
Rob Brantly,0.5,2012,brantro01,"University of California, Riverside",CA,40.75774971297359
Darin Ruf,0.4,2012,rufda01,Creighton University,NE,40.75774971297359
Chad Tracy,0.4,2012,tracych01,East Carolina University,NC,40.75774971297359
Matt Harvey,0.3,2012,harvema01,University of North Carolina at Chapel Hill,NC,40.75774971297359
Jordy Mercer,0.3,2012,mercejo03,Oklahoma State University,OK,40.75774971297359
Luke Carlin,0.2,2012,carlilu01,Northeastern University,MA,40.75774971297359
Stephen Fife,0.2,2012,fifest01,University of Utah,UT,40.75774971297359
Eddy Rodriguez,0.2,2012,rodried04,University of Miami,FL,40.75774971297359
Andy Pettitte,0.1,2012,pettian01,"San Jacinto College, North Campus",TX,40.75774971297359
Chris Rusin,0.1,2012,rusinch01,University of Kentucky,KY,40.75774971297359
Rob Scahill,0.1,2012,scahiro01,Bradley University,IL,40.75774971297359
Carlos Torres,0.1,2012,torreca01,Kansas State University,KS,40.75774971297359
Jonathan Albaladejo,0.0,2012,albaljo01,Miami-Dade College,FL,40.75774971297359
Hector Ambriz,0.0,2012,ambrihe01,"University of California, Los Angeles",CA,40.75774971297359
Scott Barnes,0.0,2012,barnesc01,St. John's University,NY,40.75774971297359
Trevor Bauer,0.0,2012,bauertr01,"University of California, Los Angeles",CA,40.75774971297359
Jeff Beliveau,0.0,2012,belivje01,College of Charleston,SC,40.75774971297359
Brad Boxberger,0.0,2012,boxbebr01,University of Southern California,CA,40.75774971297359
Barret Browning,0.0,2012,brownba01,Florida State University,FL,40.75774971297359
Tyson Brummett,0.0,2012,brummty01,"University of California, Los Angeles",CA,40.75774971297359
Cory Burns,0.0,2012,burnsco01,University of Arizona,AZ,40.75774971297359
Vinnie Chulk,0.0,2012,chulkvi01,St. Thomas University,FL,40.75774971297359
Tony Cingrani,0.0,2012,cingrto01,Rice University,TX,40.75774971297359
Sean Doolittle,0.0,2012,doolise01,University of Virginia,VA,40.75774971297359
Josh Edgin,0.0,2012,edginjo01,The Ohio State University,OH,40.75774971297359
Jack Egbert,0.0,2012,egberja01,"Rutgers, the State University of New Jersey",NJ,40.75774971297359
C.J. Fick,0.0,2012,fickch01,California State University Northridge,CA,40.75774971297359
Lew Ford,0.0,2012,fordle01,Dallas Baptist University,TX,40.75774971297359
Sam Freeman,0.0,2012,freemsa01,University of Kansas,KS,40.75774971297359
Adam Greenberg,0.0,2012,greenad01,University of North Carolina at Chapel Hill,NC,40.75774971297359
Justin Hampson,0.0,2012,hampsju01,Southwestern Illinois College,IL,40.75774971297359
Jeremy Hefner,0.0,2012,hefneje01,Oral Roberts University,OK,40.75774971297359
Steven Hill,0.0,2012,hillst01,Stephen F Austin State University,TX,40.75774971297359
Alex Hinshaw,0.0,2012,hinshal01,Chaffey College,CA,40.75774971297359
Bryan Holaday,0.0,2012,holadbr01,Texas Christian University,TX,40.75774971297359
Brett Jackson,0.0,2012,jacksbr01,"University of California, Berkeley",CA,40.75774971297359
Dan Jennings,0.0,2012,jennida01,University of Nebraska at Lincoln,NE,40.75774971297359
Nate Jones,0.0,2012,jonesna01,Northern Kentucky University,KY,40.75774971297359
Joe Kelly,0.0,2012,kellyjo05,"University of California, Riverside",CA,40.75774971297359
Dallas Keuchel,0.0,2012,keuchda01,University of Arkansas,AR,40.75774971297359
Tom Koehler,0.0,2012,koehlto01,Stony Brook University,NY,40.75774971297359
David Lough,0.0,2012,loughda01,Mercyhurst College,PA,40.75774971297359
Aaron Loup,0.0,2012,loupaa01,Tulane University,LA,40.75774971297359
Lucas Luetge,0.0,2012,luetglu01,Rice University,TX,40.75774971297359
Joe Martinez,0.0,2012,martijo07,Boston College,MA,40.75774971297359
Edwin Maysonet,0.0,2012,maysoed01,Delta State University,MS,40.75774971297359
Miles Mikolas,0.0,2012,mikolmi01,Nova Southeastern University,FL,40.75774971297359
D.J. Mitchell,0.0,2012,mitchdj01,Clemson University,SC,40.75774971297359
Jamie Moyer,0.0,2012,moyerja01,St. Joseph's University,PA,40.75774971297359
Dan Otero,0.0,2012,oteroda01,Duke University,NC,40.75774971297359
Adam Ottavino,0.0,2012,ottavad01,Northeastern University,MA,40.75774971297359
Blake Parker,0.0,2012,parkebl01,University of Arkansas,AR,40.75774971297359
Manny Parra,0.0,2012,parrama01,American River College,CA,40.75774971297359
Brooks Raley,0.0,2012,raleybr01,Texas A&M University,TX,40.75774971297359
AJ Ramos,0.0,2012,ramosaj01,Texas Tech University,TX,40.75774971297359
Paco Rodriguez,0.0,2012,rodrist02,University of Florida,FL,40.75774971297359
B.J. Rosenberg,0.0,2012,rosenbj01,University of Louisville,KY,40.75774971297359
