pick,team,player,pos,height,weight,country,college,years,dollars,year cap hit,year
1,MIN ,Karl-Anthony Towns,C,"7' 0""",248,United States,Kentucky,2,"$11,663,760","$5,703,600",2015
2,LAL *Traded to BKN,D'Angelo Russell,PG,"6' 5""",198,United States,Ohio State,2,"$10,435,920","$5,103,120",2015
3,PHI *Traded to NOP,Jahlil Okafor,C,"6' 11""",275,United States,Duke,2,"$9,371,520","$4,582,680",2015
4,NYK *Traded to DAL,Kristaps Porzingis,PF,"7' 3""",240,Latvia,,2,"$8,449,440","$4,131,720",2015
5,ORL *Traded to NYK,Mario Hezonja,SG,"6' 8""",225,Croatia,,2,"$7,651,320","$3,741,480",2015
6,SAC ,Willie Cauley-Stein,C,"7' 0""",240,United States,Kentucky,2,"$6,949,440","$3,398,280",2015
7,DEN *Traded to NYK,Emmanuel Mudiay,PG,"6' 5""",200,Dominican Republic,,2,"$6,344,040","$3,102,240",2015
8,DET *Traded to NOP,Stanley Johnson,SF,"6' 7""",245,United States,Arizona,2,"$5,811,840","$2,841,960",2015
9,CHA ,Frank Kaminsky,PF,"7' 0""",242,United States,Wisconsin,2,"$5,342,520","$2,612,520",2015
10,MIA ,Justise Winslow,SF,"6' 7""",225,United States,Duke,2,"$5,075,160","$2,481,720",2015
11,IND ,Myles Turner,C,"6' 11""",250,United States,Texas,2,"$4,821,600","$2,357,760",2015
12,UTH *Traded to DEN,Trey Lyles,PF,"6' 10""",234,United States,Kentucky,2,"$4,580,400","$2,239,800",2015
13,PHX ,Devin Booker,SG,"6' 6""",210,United States,Kentucky,2,"$4,351,440","$2,127,840",2015
14,OKC *Traded to CLE,Cameron Payne,PG,"6' 3""",190,United States,Murray State,2,"$4,134,000","$2,021,520",2015
15,ATL *Traded to PHX,Kelly Oubre Jr.,SF,"6' 7""",205,United States,Kansas,2,"$3,926,880","$1,920,240",2015
16,BOS ,Terry Rozier,PG,"6' 1""",190,United States,Louisville,2,"$3,730,800","$1,824,360",2015
17,MIL *Traded to DAL,Rashad Vaughn,SG,"6' 6""",210,United States,Nevada-Las Vegas,2,"$5,464,000","$1,733,040",2015
18,HOU *Traded to WAS,Sam Dekker,SF,"6' 9""",230,United States,Wisconsin,2,"$3,366,960","$1,646,400",2015
